title,bazdid,karbaran,minute,title1,ژانر,کشور,سال,imdb,number of episod,قسمت,فصل,serial,film
 موهبت,13,10,4.47, موهبت,ترسناک، علمی-تخیلی,آمریکا,1383,4.8,0,0,0,NULL,1
100 فصل 1 قسمت 1,74,46,23.09,100,رازآلود،درام، علمی-تخیلی,آمریکا,1393,7.7,8,1,1,1,NULL
100 فصل 1 قسمت 2,38,28,11.87,100,رازآلود،درام، علمی-تخیلی,آمریکا,1393,7.7,8,2,1,1,NULL
100 فصل 1 قسمت 3,27,17,9.77,100,رازآلود،درام، علمی-تخیلی,آمریکا,1393,7.7,8,3,1,1,NULL
100 فصل 1 قسمت 4,18,15,7.37,100,رازآلود،درام، علمی-تخیلی,آمریکا,1393,7.7,8,4,1,1,NULL
100 فصل 1 قسمت 5,19,14,6.69,100,رازآلود،درام، علمی-تخیلی,آمریکا,1393,7.7,8,5,1,1,NULL
100 فصل 1 قسمت 6,19,15,6.65,100,رازآلود،درام، علمی-تخیلی,آمریکا,1393,7.7,8,6,1,1,NULL
100 فصل 1 قسمت 7,14,12,8.46,100,رازآلود،درام، علمی-تخیلی,آمریکا,1393,7.7,8,7,1,1,NULL
100 فصل 1 قسمت 8,21,14,7.13,100,رازآلود،درام، علمی-تخیلی,آمریکا,1393,7.7,8,8,1,1,NULL
127 ساعت,5,1,1.06,127 ساعت,ماچراجویی,آمریکا,1388,7.6,0,0,0,NULL,1
22 جولای,4,4,1.09,22 جولای,جنایی، درام، هیجان انگیز,نروژ,1397,6.7,0,0,0,NULL,1
ابری با احتمال بارش کوفته قلقلی,121,56,31.41,ابری با احتمال بارش کوفته قلقلی,NULL,آمریکا,1388,0,0,0,0,NULL,1
ابری با احتمال بارش کوفته قلقلی قسمت 1,52,43,15.82,"ابری با احتمال بارش کوفته قلقلی ",اکشن،انیمیشن,آمریکا,1388,7,5,1,1,1,NULL
ابری با احتمال بارش کوفته قلقلی قسمت 2,34,29,7.06,"ابری با احتمال بارش کوفته قلقلی ",اکشن،انیمیشن,آمریکا,1388,7,5,2,1,1,NULL
ابری با احتمال بارش کوفته قلقلی قسمت 3,31,25,3.86,"ابری با احتمال بارش کوفته قلقلی ",اکشن،انیمیشن,آمریکا,1388,7,5,3,1,1,NULL
ابری با احتمال بارش کوفته قلقلی قسمت 4,35,29,5.5,"ابری با احتمال بارش کوفته قلقلی ",اکشن،انیمیشن,آمریکا,1388,7,5,4,1,1,NULL
ابری با احتمال بارش کوفته قلقلی قسمت 5,37,30,5.46,"ابری با احتمال بارش کوفته قلقلی ",اکشن،انیمیشن,آمریکا,1388,7,5,5,1,1,NULL
ابو زینب,24,11,6.41,ابو زینب,درام,ایران,1395,0,0,0,0,NULL,1
اتاق,18,7,5.33,اتاق,خانوادگی، اجتماعی,آمریکا,1394,8.2,0,0,0,NULL,1
اتاق پاکیزه,2,2,1.21,اتاق پاکیزه,NULL,آمریکا,1393,9.3,0,0,0,NULL,1
اتاق خالی,41,24,17.37,اتاق خالی,NULL,آمریکا,1386,6.2,0,0,0,NULL,1
اتحاد قهرمانان,590,251,168.75,اتحاد قهرمانان,اکشن,"چین ",1396,5.4,0,0,0,NULL,1
اتحاد قهرمانان,590,251,168.75,اتحاد قهرمانان,NULL,"چین ",1396,5.4,0,0,0,NULL,1
اثر پروانه ای 3,14,7,3.31,اثر پروانه ای 3,NULL,آمریکا,1388,5.6,0,0,0,NULL,1
احساس,137,68,48.33,احساس,NULL,هند,1380,5.8,0,0,0,NULL,1
احساس,137,68,48.33,احساس,NULL,هند,1380,5.8,0,0,0,NULL,1
اداره انسانی,14,11,6.19,اداره انسانی,اکشن، علمی-تخیلی، ماجراجویی,کانادا,1396,5,0,0,0,NULL,1
ارباب دزدان,5,4,3.37,ارباب دزدان,کودکان، خانوادگی,آلمان,1385,7.6,0,0,0,NULL,1
ارثیه پدری,63,28,18.45,ارثیه پدری,NULL,ایران,1395,0,0,0,0,NULL,1
