content id,content name,access users,access times,access duration (hour),average access duration (hour)
1.11002E+15,ریزه میزه,2184,3171,1108,0.35
1.10022E+14,گذرگاه فصل 1 قسمت 9,33,58,24.13,0.42
1.00022E+14,شبکه اجتماعی,154,625,299.62,0.48
1.11002E+15,ستایش فصل 3 قسمت 16,209,295,108.15,0.37
1.11002E+15,مظنون فصل 1 قسمت 4,68,108,43.18,0.4
1.00022E+14,مسافران فصل 1 قسمت 12,69,92,103.31,1.12
1.00022E+14,ستاره ساز قسمت 14,17,17,14.61,0.86
1E+12,به همین سادگی,424,647,351.73,0.54
1.11002E+15,100 فصل 3 قسمت 4,455,806,369.25,0.46
1.00022E+14,خون آبی فصل 3 قسمت 21,9,11,6.82,0.62
1.11002E+15,گاتهام فصل 3 قسمت 19,146,214,103.66,0.48
1.00022E+14,بازگشت به خانه فصل 1 قسمت 1,49,57,20.3,0.36
1.00022E+14,پلیس جوان قسمت 19,18,28,9.02,0.32
1.00022E+14,اسلحه مرگبار فصل 1 قسمت 15,9,13,14.25,1.1
1.00022E+14,ساختمان پزشکان قسمت 42,227,406,165.14,0.41
1.00022E+14,زیر تیغ قسمت 11,37,71,29.68,0.42
1.11002E+15,گریم فصل 1 قسمت 20,812,1418,538.41,0.38
1.00022E+14,زن بابا قسمت 3,254,439,156.91,0.36
1.00022E+14,قصه های مجید 5- ملخ دریایی,105,172,71.25,0.41
1.00022E+14,ستاره ساز قسمت 39,6,8,4.72,0.59
1.11002E+15,در حاشیه فصل 1 قسمت 9,2374,4081,1519.53,0.37
1.11002E+15, مستند پیشگویان داستان های علمی تخیلی قسمت 3,113,134,47.64,0.36
1.00022E+14,در چشم باد قسمت 37,37,44,17.22,0.39
1.00001E+12,بن تن فصل 4 قسمت 3,300,408,120.34,0.29
1.00022E+14,ساختمان پزشکان قسمت 7,400,671,291.7,0.43
1.00001E+12,پیاز فروش,256,427,241.26,0.57
1.00002E+12,نورمن در فضا,98,160,76.03,0.48
1.11002E+15,مظنون فصل 1 قسمت 9,16,29,11.96,0.41
1.11002E+15,یک گام کوچک,320,391,122.45,0.31
1.00022E+14,بیدارشو آرزو,100,153,65.85,0.43
1.00003E+12,استند تاپ قسمت 6,1,1,0.02,0.02
1.00003E+12,انیمیشن های کوتاه 4,155,229,159.8,0.7
1.00003E+12,پایتخت فصل 2 قسمت 10,562,990,423.97,0.43
1.00004E+12,ابری با احتمال بارش کوفته قلقلی,518,898,435.73,0.49
1.00003E+12,فرینج قسمت 2,151,278,151.98,0.55
1.00004E+12,رزیدنت فصل 1 قسمت 3,39,50,28.13,0.56
1.00022E+14,دلبری,1736,9254,3272.58,0.35
1.00001E+12, شکار قسمت 2,147,215,82.91,0.39
1.00004E+12,پس از باران قسمت 9,127,190,72.08,0.38
1.00022E+14,جاسوسی که مرا رها کرد,211,545,426.71,0.78
1.00022E+14,کمینگاه دزدان,600,3114,1674.27,0.54
1.00002E+12,سید پسر دانشمند,56,102,42.9,0.42
1.00003E+12,نگهبان قصه ها,423,1671,716.57,0.43
1.00022E+14,مرد چرخنده,35,38,18.71,0.49
1.0004E+16,سامورایی جک قسمت 26,13,16,1.53,0.1
1.00022E+14,پاشنه بلند 2,1542,2702,1305.68,0.48
1.10022E+14,ورود به سرزمین های بد فصل 3 قسمت 8,445,821,291.93,0.36
1.00002E+12,عالیجناب قسمت 2,363,665,270.72,0.41
1.00022E+14,کلونی فصل 1 قسمت 6,34,69,12.85,0.19
1.00022E+14,همسر,205,791,305.51,0.39
1.00022E+14,شمعدونی قسمت 18,70,116,43.7,0.38
1.00022E+14,اشیا تیز فصل 1 قسمت 2 : خاک,15,23,10.39,0.45
1.00022E+14,مینو قسمت 2,26,39,11.67,0.3
1.00022E+14,فرینج فصل 4 قسمت 6,54,113,46.18,0.41
1.00022E+14,حفره فصل 1 قسمت 5,62,99,36.22,0.37
1.00022E+14,ستاره ساز قسمت 22,17,24,15.42,0.64
1.00022E+14,با استعداد فصل 1 قسمت 12,85,166,52.82,0.32
1.00022E+14,زیرگنبد فصل 3 قسمت 4,44,58,23.18,0.4
1.00022E+14,زیر تیغ قسمت 9,26,36,20.49,0.57
1.00022E+14,سوپرایز شو قسمت 5,60,72,63.48,0.88
1.10022E+14,شش اژده های پرنده قسمت 35,31,53,34.51,0.65
