content id,content name,access users,access times,access duration (hour),average access duration (hour)
1.11002E+15,سقوط شوالیه فصل 2 قسمت 6:سنگ خون ریز,247,1852,638.64,0.34
1.00022E+14,1985,20,22,18.33,0.83
1.10022E+14,آیینه جادوگر فصل 1 قسمت 17,29,69,20.28,0.29
1.10022E+14,ورود به سرزمین های بد فصل 2 قسمت 9,211,380,144.41,0.38
1.10022E+14,ورود به سرزمین های بد فصل 3 قسمت 9,229,432,143.42,0.33
1.11002E+15,افسانه های فردا فصل 3 قسمت 8,137,281,89.51,0.32
1.11002E+15,افسانه های فردا فصل 3 قسمت 16,134,237,90.08,0.38
1.11002E+15,mm_sub_test,2,12,2.36,0.2
1.11002E+15,مظنون فصل 1 قسمت 21,94,153,69.21,0.45
1.00022E+14,ستاره ساز قسمت 39,8,11,7.37,0.67
1.11002E+15,شش اژدهای پرنده قسمت 22,9,17,4.33,0.25
1.11002E+15,به سوی ستارگان,3690,7857,3641.06,0.46
1.11002E+15,افسانه های فردا فصل 2 قسمت 1,126,358,158.8,0.44
1.11002E+15,افسانه های فردا فصل 2 قسمت 13,72,263,73.93,0.28
1.00002E+12,عالیجناب قسمت 2,106,184,74.18,0.4
1.11002E+15,مسافران فصل 2 قسمت 5:جنی,22,38,18.35,0.48
1.11002E+15,وایکینگ ها فصل 6 قسمت 3,3071,4994,2167.81,0.43
1.11002E+15,سوپر  30,866,1606,720.57,0.45
1.11002E+15,تنهاترین سردار قسمت 1,112,532,118.32,0.22
1.11002E+15,در حاشیه فصل 1 قسمت 16,416,684,230.85,0.34
1.11002E+15, مستند پیشگویان داستان های علمی تخیلی قسمت 3,13,15,4.15,0.28
1.11002E+15,انگل,231,392,170.84,0.44
1.00022E+14,سریال 100 فصل 2 قسمت 8,250,453,154.86,0.34
1.00022E+14,بیگانه,31,146,40.67,0.28
1.00022E+14,خط قرمز قسمت 9,46,84,26.34,0.31
1.11002E+15,تور بزرگ فصل 1 قسمت 7,38,172,70.8,0.41
1.10022E+14,آیینه جادوگر فصل 1 قسمت 16,29,60,19.17,0.32
1.11002E+15,ستایش فصل 3 قسمت 10,323,544,197.82,0.36
1.00022E+14,زندگی در دست تعمیر,160,299,107.54,0.36
1.11002E+15,مظنون فصل 3 قسمت22,14,17,8.64,0.51
1.00022E+14,هری پاتر و تالار اسرار,73,222,91.13,0.41
1.11002E+15,زوج یا فرد قسمت 1,341,563,226.8,0.4
