content id,content name,access users,access times,access duration (hour),average access duration (hour)
1.00022E+14,گاتهام فصل 1 قسمت 7,5,44,12.89,0.29
1.00022E+14,عصر جدید فصل 2 قسمت 5,13,58,20.76,0.36
1.00001E+12,ساعت شلوغی 3,80,308,140.2,0.46
1.00001E+12,پدر جان اول شما,12,30,19.57,0.65
1.00001E+12,گنج های سیرامادره,12,38,18.04,0.47
1.00022E+14,آخرین دیدار در آیداهو,7,116,28.56,0.25
1.00022E+14,علی البدل قسمت 2,23,102,36.27,0.36
1.00022E+14,تاریخ صنعت خودرو در ایران و کره جنوبی قسمت 6,1,10,1.41,0.14
1.00022E+14,مخفیلم-نقطه جوش,18,46,21.51,0.47
1.00022E+14,گاندو قسمت 15,19,60,28.39,0.47
1.00022E+14,ساختمان پزشکان قسمت 5,113,432,139.16,0.32
1.00022E+14,زمین سرگردان,9,50,15.64,0.31
1.00022E+14,پدرخوانده قسمت 1,28,78,37.64,0.48
1.00022E+14,دکتر خوب قسمت 11,4,18,12.49,0.69
1.00022E+14,شاهزاده ربوده شده: روسلان و لودمیلا,74,358,129.68,0.36
1.00022E+14,پیشتازان فضا: اکتشافات قسمت 9,7,14,10.11,0.72
1.10022E+14,مرد عنکبوتی: جنگجویان تار عنکبوتی 07,33,386,141.5,0.37
1.00003E+12,سامورایی جک  قسمت 51,1,2,0.71,0.36
1.00003E+12,دانلد داک قسمت 4,3,6,4.66,0.78
1.00022E+14,هیول آباد قسمت 16,3,6,2.05,0.34
1.00022E+14,خود زندگی,27,238,57.6,0.24
1.00022E+14,شام من با هرو,3,40,10.62,0.27
1.00022E+14,آخرین کشتی 2 قسمت 4,16,44,22.66,0.51
1.00022E+14,وایکینگ ها 5 قسمت 12,160,1772,676.67,0.38
1.00022E+14,ریکاوری قسمت 1,95,286,125.26,0.44
1.00022E+14,پروفسور و مرد دیوانه,4,32,13.64,0.43
1.00022E+14,پاشنه بلند 2,183,2378,1007.2,0.42
1.00022E+14,کماندار فصل 3 قسمت 21,53,236,101.26,0.43
1.10022E+14,ورود به سرزمین های بد فصل 3 قسمت 9,49,142,61.6,0.43
1.00022E+14,فراموشی,10,26,10.75,0.41
1.00022E+14,محیا,44,208,107.82,0.52
1.00022E+14,فرینج فصل 3 قسمت 8,17,52,29.13,0.56
1.00022E+14,اقلیم -شوشتر 1,4,26,1.51,0.06
1.00022E+14,پشت صحنه مرد هزار چهره,204,508,256.77,0.51
1E+12,استاد زد: میراث ایپ من,33,498,240.35,0.48
1.00022E+14,لیسانسه ها 2 قسمت 17,15,58,16.15,0.28
1.00022E+14,فرینج فصل 3 قسمت 12,20,102,46.77,0.46
1.00022E+14,یوسف پیامبر قسمت 8,58,214,89.84,0.42
1.00022E+14,جاسوسی که مرا رها کرد,19,158,79.49,0.5
1.00022E+14,بزنگاه قسمت 14,36,132,40.08,0.3
1.00022E+14,ارمغان تاریکی قسمت22,12,28,12.55,0.45
1.00022E+14,حفره فصل 1 قسمت 3,11,34,7.36,0.22
1.00022E+14,خط قرمز قسمت 9,23,120,43.27,0.36
1.11002E+15,ماموران شیلد فصل 1 قسمت 18,2,32,11.74,0.37
1.11002E+15,بوش فصل 1 قسمت3,3,8,2.27,0.28
