content id,content name,access users,access times,access duration (hour),average access duration (hour)
1.00022E+14,دنیای شادی,94,153,58.74,0.38
1.00022E+14,قهرمانان کوچک,9,88,28.52,0.32
1.11002E+15,انگل,50,150,103.91,0.69
1.11002E+15,محافظ فصل 1 قسمت 4,304,463,160.77,0.35
1.11002E+15,مداحی شهدا شرمنده ایم,796,845,187.66,0.22
1.11002E+15,اعلام خبر و صحنه های شهادت در بغداد,1605,1733,295.96,0.17
1.11002E+15,فلش فصل 4 قسمت 22,74,122,43.28,0.35
1.11002E+15,لوتر فصل 2 قسمت 1,27,56,17.7,0.32
1.11002E+15,زن خفاشی فصل 1 قسمت 7,397,609,250.3,0.41
1.00022E+14,کماندار قسمت 16,54,87,35.48,0.41
1.11002E+15,تنهاترین سردار قسمت 1,86,434,113.37,0.26
1.11002E+15,وایکینگ ها فصل 6 قسمت 6:مرگ و جدایی,1113,1824,817.69,0.45
1.00002E+12,باب اسفنجی-ماقبل تاریخ,308,666,285.7,0.43
1.00002E+12,قصه سگ و گربه,12,13,3,0.23
1.11002E+15,درخشان,113,790,280.42,0.35
1.00022E+14,تاکسی 5,196,1486,541.39,0.36
1.00022E+14,وایکینگ ها 3 قسمت 4,392,2472,830.32,0.34
1.00001E+12,بن تن فصل 2 قسمت 1,209,315,107.1,0.34
1.00022E+14,آخرین کشتی 2 قسمت 10,16,20,10.54,0.53
1.00022E+14,فرینج 2 قسمت 12,23,58,19.33,0.33
1.11002E+15,"نگهبانان فصل 1 قسمت 4: اگر داستان من را دوست ندارید, داستان خودتان را بنویسید",20,33,13.09,0.4
1.00004E+12,روزی روزگاری قسمت 11 و 12,127,281,120.06,0.43
1.00003E+12,فرینج قسمت 2,46,65,27.99,0.43
1.00022E+14,کماندار 1 قسمت 11,1,1,0.03,0.03
1.11002E+15,ستایش فصل 3 قسمت 25,50,65,26.23,0.4
1.00022E+14,بچه رئیس قسمت 12,85,135,53.67,0.4
1.00004E+12,پس از باران قسمت 5,27,50,13.37,0.27
1.11002E+15,نگهبانان فصل 1 قسمت 7:یک مذهبی متعصب,15,42,11.18,0.27
1.11002E+15,مرز وظیفه,2051,3714,1787.6,0.48
1.00001E+12,منچستر کنار دریا,2,2,3.21,1.6
1.00022E+14,بری 1 قسمت 1,6,7,4.08,0.58
1.11002E+15,فلش فصل2 قسمت21,31,57,16.28,0.29
1.00001E+12,فرار از زندان فصل 2 قسمت 7,53,100,34.95,0.35
1.00001E+12,فرار از زندان فصل 4 قسمت 6,60,109,47.82,0.44
1.00022E+14,بزنگاه قسمت 13,61,94,37.83,0.4
1.11002E+15,دکتر هاوس فصل 1 قسمت 13,3,16,10.74,0.67
1.11002E+15,پرستاران و سربازان: خالی,457,674,291.19,0.43
1.00001E+12,فرار از زندان فصل 4 قسمت 18,60,101,55.97,0.55
1.00022E+14,وایکینگ ها 5 قسمت 16,429,2950,1089.49,0.37
1.11002E+15,ماموران شیلد فصل 1 قسمت 13,8,38,22.84,0.6
1.11002E+15,100فصل 5 قسمت 8:چطور به صلح برسیم,142,276,99.67,0.36
1.00022E+14,برادر خونی,183,1076,416.36,0.39
1.11002E+15,سه درصد فصل 1 قسمت 6,12,15,9.14,0.61
1.11002E+15,100 فصل 3 قسمت 6,54,99,43.27,0.44
1.00022E+14,ساختمان پزشکان قسمت 7,118,198,100.4,0.51
1.00022E+14,گاتهام فصل 2 قسمت18,16,90,36.2,0.4
1.00022E+14,ساختمان پزشکان قسمت 39,45,75,35.24,0.47
1.00022E+14,هوش سیاه 2 قسمت 25,18,39,14.01,0.36
1.00022E+14,قصه های مجید قسمت 3 -خواب نما,13,23,7.49,0.33
1.11002E+15,پیام مهم رهبر و اعلام عزای عمومی,300,310,87.97,0.28
1.11002E+15,تایتان ها فصل 1 قسمت 11,71,438,132.55,0.3
1.00002E+12,باب اسسفنجی-شهر گمشده (آتلانتیس),215,437,193.24,0.44
1.00022E+14,کریپتون فصل 1 قسمت 4,13,88,32.56,0.37
1.11002E+15,ماموران شیلد فصل 3 قسمت 22,4,4,5.59,1.4
1.00022E+14,فرینج فصل 3 قسمت 11,22,32,18.98,0.59
1.00022E+14,فرینج فصل 5 قسمت 12,19,28,14.61,0.52
1.10022E+14,کماندار فصل 4 قسمت 18,47,86,37.97,0.44
1.10022E+14,یقه سفید فصل 1 قسمت 7,5,5,3.22,0.64
1.00022E+14,ته دنیا فصل 1 قسمت 9,2,4,0.56,0.14
1.00022E+14,برادرجان قسمت 4,16,22,12,0.55
1.10022E+14,شش اژده های پرنده قسمت 36,3,9,3.05,0.34
1.00022E+14,نابرده رنج قسمت 22,46,72,29.65,0.41
1.00022E+14,حفره فصل 1 قسمت 3,15,26,9.25,0.36
1.00022E+14,حفره فصل 1 قسمت 5,9,17,3.81,0.22
1.11002E+15,فلش فصل 4 قسمت 1,296,468,146.71,0.31
1.11002E+15, مامان پری و هیزم شکن فصل 1 قسمت 15,10,20,8.99,0.45
1.11002E+15,بوش فصل 3 قسمت 8,2,3,1.51,0.5
1.11002E+15,مظنون فصل 4 قسمت14,10,11,6.81,0.62
1.00022E+14,مسافران فصل 1 قسمت 12,21,128,47.04,0.37
1.00022E+14,ستاره ساز قسمت 14,1,1,0.23,0.23
1.00022E+14,اقلیم -شوشتر 1,13,74,12.85,0.17
1.00001E+12,بابادوک,30,53,20.32,0.38
1.00022E+14,گلشیفته قسمت 16,287,438,216.82,0.5
1.00022E+14,شلدون جوان فصل 1 قسمت 19,24,29,12.86,0.44
1.00022E+14,بید مجنون,10,44,6.53,0.15
1.00022E+14,آسمان من قسمت 1,18,25,6.86,0.27
1.00022E+14,آخرین دیدار در آیداهو,35,172,56.42,0.33
1.00022E+14,پلیس جوان قسمت 19,1,2,0.57,0.29
1.00022E+14,ساختمان پزشکان قسمت 10,109,164,76.42,0.47
1.00022E+14,کیف انگلیسی قسمت 3,5,6,4.17,0.7
1.00022E+14,پدرخوانده قسمت 1,33,34,10.46,0.31
1.00003E+12,پایتخت فصل 2 قسمت 11,107,215,83.26,0.39
1.00003E+12,ماجرای جکی چان قسمت 1,46,86,36.36,0.42
1.00022E+14,پیشتازان فضا: اکتشافات قسمت 9,13,20,8.95,0.45
1.00004E+12,پایتخت فصل 5 قسمت13,502,897,348.62,0.39
1.00022E+14,اسکای لند قسمت 6,1,1,1.94,1.94
1.00022E+14,خون آبی فصل 2 قسمت 1,3,5,2.03,0.41
1.00022E+14,مجازاتگر قسمت 10,70,496,183.7,0.37
1.00022E+14,فریب فصل 1 قسمت 7,6,6,3.41,0.57
1.00006E+12,دیوانه مشهور,7,27,15.49,0.57
1.00022E+14,خون آبی فصل 1 قسمت 13,2,3,1.55,0.52
1.00003E+12,اتاق خالی,44,68,42.57,0.63
1.00003E+12,بتمن آغاز می کند,47,79,47.62,0.6
1.00022E+14,لژیون 1 قسمت 8,2,12,2.95,0.25
1.00022E+14,معصومیت از دست رفته قسمت 14,2,2,0.06,0.03
1.00022E+14,یک سنگ عجیب فصل 1 قسمت 4,8,16,4.69,0.29
1.00022E+14,نفرتی که تو می کاری,34,115,57.94,0.5
1.00022E+14,شش اژدهای پرنده فصل1 قسمت 19,3,6,3.79,0.63
1.00022E+14,خانه به دوش قسمت 1,473,715,277.28,0.39
1.00022E+14,عصر جدید قسمت 23,11,13,4.36,0.34
1.00022E+14,نابرده رنج قسمت 8,48,67,33.19,0.5
1.10022E+14,گاوچران ها و بیگانگان,62,109,63.06,0.58
1.00001E+12,آبی تیره,16,21,14.18,0.68
1.11002E+15,گاتهام فصل 3 قسمت 8,21,118,56.41,0.48
1.11002E+15,هوانوردان,179,258,114.74,0.44
1.11002E+15,یقه سفید فصل 2 قسمت 5,9,12,7.29,0.61
1.00022E+14,شب دهم قسمت 6,13,27,6.5,0.24
1.11002E+15,در میان آتش - نماهنگ جان ایران - با صدای محمد معتمدی,335,349,74.82,0.21
1.00002E+12,تقویم ریدیک,132,216,98.59,0.46
1.11002E+15,لگو: در نبرد کهکشان قسمت 3و4,39,72,25.7,0.36
1.00022E+14,ماه و پلنگ قسمت 17,4,4,1.2,0.3
1.11002E+15,در حاشیه فصل 1 قسمت 18,82,149,68.96,0.46
1.11002E+15,در حاشیه فصل 1 قسمت 26,83,136,65.94,0.48
1.11002E+15,فلش فصل 3 قسمت 2,50,77,21.35,0.28
1.00003E+12,تاینی تون قسمت 10,6,8,3.72,0.47
1.00003E+12,شرک برای همیشه 4,255,459,202.3,0.44
1.00001E+12,فیلم لگو,137,230,87.87,0.38
1.00022E+14,برادران کری: مرد مرده راه میرود,30,154,68.75,0.45
1.00004E+12,داستان جور واجور,55,105,32.36,0.31
1.00022E+14,ری داناوان فصل 1 قسمت 2,6,7,4.09,0.58
1.11002E+15,ستایش فصل 3 قسمت 32,41,59,22.39,0.38
1.00022E+14,سازه های غول پیکر 1: بزرگترین کلیساهای جهان,26,29,7.71,0.27
1.11002E+15,این ما هستیم فصل 2 قسمت 14,2,4,0.87,0.22
1.00022E+14,زن بابا قسمت 14,95,175,70.36,0.4
1.00022E+14,شغل طلایی,847,5220,2248.6,0.43
1.00006E+12,جنگ پرتقالی,34,37,3.41,0.09
1.11002E+15,دورهمی قسمت 1,4707,6271,2348.15,0.37
1.11002E+15,دیه گو مارادونا,411,744,271.09,0.36
1.11002E+15,بهارات,51,98,35.16,0.36
1.00001E+12,بچه گرگ ها,57,198,96.65,0.49
1.00022E+14,ببخشید شما قسمت 23,4,4,3.26,0.81
1.11002E+15,فلش فصل2 قسمت9,42,52,23.08,0.44
1.11002E+15,فلش فصل2 قسمت19,35,55,22.79,0.41
1.11002E+15,هیچ‌کس نمی‌داند,97,139,59.18,0.43
1.11002E+15,فوق لیسانسه ها قسمت 16,126,209,80.92,0.39
1.00001E+12,فرار از زندان فصل 4 قسمت 15,54,89,39.96,0.45
1.11002E+15,گریم فصل 2 قسمت 16,194,344,146.21,0.43
1.11002E+15,شیردل,72,440,124.84,0.28
1.11002E+15,ماموران شیلد فصل 1 قسمت 5,11,48,14.23,0.3
1.11002E+15,جوخه برادران فصل 1 قسمت 6,52,92,48.66,0.53
1.00022E+14,6ابر قهرمان قسمت 12,25,39,14.68,0.38
1.00022E+14,ری داناوان فصل 6 قسمت 9,5,5,3.07,0.61
1.00022E+14,گاندو قسمت 18,15,19,15.45,0.81
1.11002E+15,ورود به سرزمین های بد فصل 3 قسمت 15,48,85,30.89,0.36
1.11002E+15,دست نیافتنی ها,16,20,12.12,0.61
1.00022E+14,پروفسور,1,8,5.64,0.71
1.00022E+14,آخرین کشتی فصل 3 قسمت 11,12,24,11.29,0.47
1.00022E+14,ستاره ساز قسمت 34,2,5,0.91,0.18
1.11002E+15,بوش فصل 2 قسمت 9,1,16,7.36,0.46
1.11002E+15,بوش فصل 2 قسمت 10,2,12,4.64,0.39
1.00022E+14,خون آبی فصل 3 قسمت 2,2,3,3.45,1.15
1.11002E+15,دکتر هاوس فصل 3 قسمت 16,2,4,2.51,0.63
1.00022E+14,عصر جدید قسمت 24,12,14,4.23,0.3
1.00022E+14,مرد آفتابی فصل 1 قسمت 7,3,7,3.07,0.44
1.00022E+14,فرینج فصل 3 قسمت 10,24,51,20.54,0.4
1.11002E+15,آکادمی گیم ایرانسل (روز اول-قسمت 1),9,9,4.37,0.49
1.11002E+15,تور بزرگ فصل 1 قسمت 3,27,138,52.42,0.38
1.10022E+14,ورود به سرزمین های بد فصل 3 قسمت 6,49,83,27.58,0.33
1.00022E+14,مسافران فصل 1 قسمت 2,53,278,112.54,0.4
1.00022E+14,نابرده رنج قسمت 24,44,79,30.66,0.39
1.00022E+14,ببخشید شما قسمت 2,72,77,38.6,0.5
1.00022E+14,حفره فصل 1 قسمت 9,10,15,3.72,0.25
1.00022E+14,شب دهم قسمت 1,87,131,41.28,0.32
1.00022E+14,زن بابا قسمت 6,162,305,136.6,0.45
1.00022E+14,علی البدل قسمت 11,17,28,13.19,0.47
1.00022E+14,آوای باران قسمت 10,13,29,11.01,0.38
1.00022E+14,چرنوبیل قسمت 1 : 1:23:45,338,2138,751.88,0.35
1.00022E+14,ماه و پلنگ قسمت 9,2,2,0.64,0.32
1.00022E+14,ساختمان پزشکان قسمت 55,54,107,50.73,0.47
1.00022E+14,دیوانه,8,8,1.48,0.18
1.00003E+12,مرد نوامبر,273,1960,863.98,0.44
1.00004E+12,روزی روزگاری قسمت 1,326,505,187.69,0.37
1.00022E+14,کماندار 1 قسمت 10,1,1,0.09,0.09
1.00022E+14,لحظه گرگ و میش قسمت 7,16,42,10.07,0.24
1.00022E+14,خون آبی فصل 2 قسمت 11,2,3,0.75,0.25
1.00004E+12,آخرین کشتی قسمت 3 فصل 1,22,22,14.79,0.67
1.00004E+12,آقای ربات فصل1 قسمت 6,1,1,1.96,1.96
1.00022E+14,ری داناوان فصل 1 قسمت 10,3,4,2.21,0.55
1.00022E+14,شمعدونی قسمت 6,17,26,9.84,0.38
1.00022E+14,شمعدونی قسمت 8,10,25,5.58,0.22
1.00022E+14,غول کش ها قسمت 3,69,408,100.61,0.25
1.00022E+14,زیرگنبد فصل 2 قسمت 11,7,10,3.75,0.38
1.00022E+14,مرگ برای زنده ماندن,14,57,25.28,0.44
1.00022E+14,مخفیلم-اشانتیون,5,7,0.53,0.08
1.00003E+12,وضعیت بازی,9,11,5.81,0.53
1.00003E+12,شورش ترون قسمت 3 زخم ها,1,1,1.41,1.41
1.00022E+14,تنهایی لیلا قسمت 3,11,16,3.46,0.22
1.00022E+14,قربانی پیاده,16,20,10.65,0.53
1.00003E+12,تاینی تون قسمت 15,4,6,1.9,0.32
1.00003E+12,یک اتفاق تازه (آرشا1),6,6,0.38,0.06
1.00022E+14,لحظه گرگ و میش قسمت 49,7,14,2.23,0.16
1.00022E+14,ماه و پلنگ قسمت 28,4,4,1.25,0.31
1.00001E+12,با نی نی 6,2,2,2.22,1.11
