content id,content name,access users,access times,access duration (hour),average access duration (hour)
1.00003E+12,دانلد داک قسمت 10,47,72,11.59,0.16
1.00003E+12,ماجرای جکی چان قسمت 1,126,179,84.73,0.47
1.00022E+14,فرینج فصل 4 قسمت 6,141,195,91.45,0.47
1.00003E+12,یک اتفاق تازه(نیوشا ضیغمی 9),2,2,0.2,0.1
1.00004E+12,رزیدنت فصل 1 قسمت 3,40,57,28.4,0.5
1.00004E+12,امام علی قسمت 3,91,133,59.93,0.45
1.00005E+12,فلش قسمت 10,673,1010,434.01,0.43
1.00022E+14,یوسف پیامبر قسمت 5,189,266,94.72,0.36
1.00022E+14,بری 1 قسمت 1,53,62,25.78,0.42
1.00022E+14,ساختمان پزشکان قسمت 47,245,329,145.39,0.44
1.00022E+14,پدرخوانده قسمت 1,54,66,13.23,0.2
1.00022E+14,قصه های مجید 5- ملخ دریایی,76,114,52.81,0.46
1.00022E+14,در چشم باد قسمت 37,41,47,19.71,0.42
1.00022E+14,ری داناوان فصل 4 قسمت 3,43,62,34.69,0.56
1.00022E+14,شمعدونی قسمت 40,134,232,94.31,0.41
1.00022E+14,برادرجان قسمت 14,205,257,86.44,0.34
1.00022E+14,اسکای لند قسمت 3,28,33,8.64,0.26
1.00022E+14,آخرین کشتی 2 قسمت 6,100,145,69.26,0.48
1.00022E+14,"چرنوبیل قسمت 3 : نامحدود, زمین",1037,1688,937.98,0.56
1.00022E+14,همتا 1 قسمت 3,17,24,12.34,0.51
1.00001E+12,بن تن فصل 4 قسمت 3,236,347,102.74,0.3
1.00004E+12,پایتخت فصل 5 قسمت13,975,1838,731.03,0.4
1.00002E+12,اعتراف به گناه,153,195,103.4,0.53
1.00005E+12,آب سیاه,1303,2126,1301.27,0.61
1.00001E+12,فرار از زندان قسمت 3,217,330,125.38,0.38
1.00022E+14,پیشتازان فضا فصل 1 قسمت 14,32,50,18.8,0.38
1.00002E+12,سفیر,46,64,41.03,0.64
1.00002E+12,شبکه,240,384,256.93,0.67
1.00002E+12,سیندرلا و افسانه شاه پریان-الاغ پرنده,21,42,16.39,0.39
1.00002E+12,استند تاپ قسمت 2,17,18,17.23,0.96
1.00003E+12,انیمیشن های کوتاه 3,267,413,159.9,0.39
1.00003E+12,سرباز,219,303,176.37,0.58
1.00003E+12,خلافکاران میامی,564,826,472.55,0.57
1.00022E+14,کلونی فصل 2 قسمت 12,95,132,63.46,0.48
1.00003E+12,دانلد داک قسمت 18,30,67,9.74,0.15
1.00022E+14,حفره فصل 1 قسمت 6,150,190,53.12,0.28
1.00004E+12,شنل,680,991,519.88,0.52
1.00004E+12,رئیس,966,1719,1136.02,0.66
1.00022E+14,ساختمان پزشکان قسمت 10,423,633,305.17,0.48
1.00022E+14,پایتخت فصل 1 قسمت 10,302,418,178.26,0.43
1.00022E+14,میپل قسمت 12,1,1,0.18,0.18
1.00022E+14,پس از بارن قسمت 33,59,73,22.25,0.3
1.00022E+14,خانه به دوش قسمت 18,335,513,196.68,0.38
1.00022E+14,اغما قسمت 24,28,37,10.63,0.29
1.00022E+14,آقای ربات فصل 2 قسمت 4,10,20,10.33,0.52
1.00022E+14,ارمغان تاریکی قسمت 6,16,20,9.6,0.48
1.00022E+14,باغ گیلاس قسمت 10,5,7,4.25,0.61
1.00022E+14,آخرین دیدار در آیداهو,412,549,221.3,0.4
1.00022E+14,فقط زندگی کن قسمت 8,4,5,0.8,0.16
1.00022E+14,عصر جدید قسمت 23,374,467,174.44,0.37
1.00022E+14,زنجیره فصل 2 قسمت9,148,218,94.76,0.43
1.00022E+14,کلونی فصل 1 قسمت 6,106,135,60.23,0.45
1.00022E+14,وایکینگ ها 5 قسمت 11,481,687,320.29,0.47
1.00001E+12,هیولایی صدا میزند,75,85,56.6,0.67
1.00022E+14,وایکینگ ها 4 قسمت 3,504,751,276.55,0.37
1.00022E+14,پاشنه بلند 2,1364,1902,1053.05,0.55
1.00022E+14,ببخشید شما قسمت 40,6,11,2.35,0.21
1.00022E+14,حفره فصل 1 قسمت 5,155,212,70.33,0.33
1.00022E+14,ببخشید شما قسمت 34,3,6,4.88,0.81
1.00022E+14,میپل قسمت 27,1,1,0.02,0.02
1.00001E+12,فرار از زندان قسمت 9,210,300,121.18,0.4
1.00001E+12,شکار قسمت 3,71,85,30.57,0.36
1.00004E+12,فرینج قسمت 5,197,300,141.22,0.47
1.00004E+12,استندتاپ قسمت 27,2,2,0.13,0.07
1.00022E+14,تکه,149,181,96.36,0.53
1.00022E+14,تنهایی لیلا قسمت 3,70,83,21.06,0.25
1.00006E+12,کوتوله تنها,391,658,301.71,0.46
1.00022E+14,نفس گرم قسمت 13,15,16,6.99,0.44
1.00022E+14,پدرخوانده قسمت 4,9,12,3.51,0.29
1.00022E+14,بزنگاه قسمت 23,146,202,58.05,0.29
1.00022E+14,در چشم باد قسمت 23,68,89,48.28,0.54
1.00022E+14,هنچمن,747,1218,662.93,0.54
1.00022E+14,مامور کارتر فصل 1 قسمت 8,64,78,65.46,0.84
1.00022E+14,کماندار فصل 3 قسمت 9,536,796,357.3,0.45
1.00022E+14,شمعدونی قسمت 12,152,234,102.68,0.44
1.00022E+14,آوای باران قسمت 40,131,171,64.5,0.38
1.00022E+14,گرینگو,47,57,34.56,0.61
1.00022E+14,دکتر خوب قسمت 15,22,31,9.97,0.32
1.00022E+14,غول کش ها قسمت 15,1125,1477,514.39,0.35
1E+12,سنگر 11,495,685,323.44,0.47
1.00022E+14,سقوط شوالیه قسمت 7,2,4,1.28,0.32
1.00001E+12,فرار از زندان فصل 4 قسمت 15,223,347,163.25,0.47
1.00022E+14,لانه پرنده,413,644,402.49,0.62
