content id,content name,access users,access times,access duration (hour),average access duration (hour)
1.00002E+12,باب اسفنجی-ماقبل تاریخ,1174,2851,1515.21,0.53
1.00022E+14,بچه رئیس قسمت 12,342,585,132.2,0.23
1.00022E+14,ارمغان تاریکی قسمت 12,11,20,3.56,0.18
1.00022E+14,حاشیه اقیانوس آرام 2,573,1209,675.79,0.56
1.00022E+14,مسافران فصل 1 قسمت 10,65,90,31.03,0.34
1.00022E+14,فوتبالیست ها جام جهانی قسمت1,713,1139,435.31,0.38
1.00022E+14,ستاره ساز قسمت 25,14,17,5.02,0.3
1.00022E+14,مخفیلم-نقطه جوش,30,34,20.82,0.61
1.00022E+14,علی البدل قسمت 2,199,392,190.05,0.48
1.00022E+14,فوتبالیست ها جام جهانی قسمت7,186,296,129.41,0.44
1.00022E+14,گریز از مرگ,212,236,42.35,0.18
1.00022E+14,ماشیناسورها 1 قسمت 8,57,97,20.62,0.21
1.00022E+14,با استعداد فصل 1 قسمت 13,70,102,79.19,0.78
1.00022E+14,کماندار فصل 4 قسمت 6,406,713,265.84,0.37
1.00022E+14,فرینج فصل 3 قسمت 8,57,90,42.13,0.47
1.00022E+14,ته دنیا فصل 1 قسمت 2,58,85,22.99,0.27
1.11002E+15,ماموران شیلد فصل 1 قسمت 18,97,159,80.12,0.5
1.00022E+14,ساختمان پزشکان قسمت 39,150,287,131.33,0.46
1.11002E+15,داستان اسباب بازی 4,12724,29595,14763.14,0.5
1.00022E+14,رسوایی,1071,1876,803.42,0.43
1.00022E+14,علی البدل قسمت 9,114,224,99.65,0.44
1.00022E+14,فقط زندگی کن قسمت 7,10,12,1.97,0.16
1.00022E+14,ماه و پلنگ قسمت 16,33,45,15.74,0.35
1.00022E+14,فرینج فصل 3 قسمت 11,59,121,47.51,0.39
1.00022E+14,فرینج فصل 4 قسمت 6,52,73,38.11,0.52
1.00022E+14,کماندار فصل 3 قسمت 22,337,546,214.84,0.39
1.00022E+14,شلدون جوان فصل دوم قسمت 21,57,80,22.76,0.28
1.00002E+12,سید پسر دانشمند,87,155,64.09,0.41
1.00003E+12,شوکا-آذربایجان شرقی,12,13,0.48,0.04
1.00004E+12,روزی روزگاری قسمت 2,274,450,207.67,0.46
1.00022E+14,قصه های مجید 5- ملخ دریایی,79,155,74.28,0.48
1.00022E+14,خون آبی فصل 2 قسمت 1,20,28,9.74,0.35
1.00001E+12,فرار از زندان فصل 4 قسمت 6,281,521,214,0.41
1.00001E+12,آخرین تک شاخ,240,372,161.44,0.43
1.10022E+14,شش اژده های پرنده قسمت 45,70,121,55.57,0.46
1.00022E+14,توپگیری که جاسوس بود,94,132,72.74,0.55
1.00001E+12,گنج های سیرامادره,114,170,119.97,0.71
1.00022E+14,کماندار 1 قسمت 10,296,507,230.36,0.45
1.00022E+14,پدرخوانده قسمت 8,8,9,6.21,0.69
1.00022E+14,خون آبی فصل 2 قسمت 10,14,26,8.47,0.33
1.00022E+14,خون آبی فصل 2 قسمت 12,14,18,7.85,0.44
1.00022E+14,خط قرمز قسمت 23,90,127,61.26,0.48
1.11002E+15,بی عشق,224,264,93.07,0.35
1.00001E+12,فرار از زندان فصل 3 قسمت 10,304,545,219.3,0.4
1.00022E+14,زن بابا قسمت 11,143,265,106.2,0.4
1.00001E+12,شیرطلایی,168,284,150.01,0.53
1.00002E+12,سفیر,59,80,45.51,0.57
1.00004E+12,رزیدنت فصل 1 قسمت 3,26,47,18.22,0.39
1.00004E+12,پس از باران قسمت 30,36,44,18.24,0.41
1.00022E+14,شش اژدهای پرنده فصل1 قسمت 6,110,200,83.79,0.42
1.00022E+14,اسلحه مرگبار فصل 1 قسمت 1,119,172,59.46,0.35
1.00004E+12,سرگذشت ندیمه فصل 1 قسمت 6,9,15,5.64,0.38
1.11002E+15,رادیو موج سرخ پرسپولیس قسمت 7,1,1,0.02,0.02
1.00022E+14,لحظه گرگ و میش قسمت 15,21,39,14.83,0.38
1.00022E+14,فراری از قصر قسمت 14,49,89,37.4,0.42
1.11002E+15,سه درصد فصل 1 قسمت 6,217,328,111.34,0.34
1.11002E+15,تلاش برای چیزی جدید در 30 روز,24,26,1.55,0.06
1.11002E+15,کشتن فصل 2 قسمت 12,25,35,15.08,0.43
1.00022E+14,آسمان من قسمت 7,36,47,21.37,0.45
1.00022E+14,باران فصل 1 قسمت 4,99,170,61.46,0.36
1.00022E+14,فراموشی,105,169,60.1,0.36
1.00022E+14,ساختمان پزشکان قسمت 16,212,399,148.49,0.37
1.00003E+12,مکس پین,330,521,264.35,0.51
