content id,content name,access users,access times,access duration (hour),average access duration (hour)
1.00022E+14,جاسوسی که مرا رها کرد,223,339,132.39,0.39
1.00002E+12,سید پسر دانشمند,56,125,45.08,0.36
1E+12,فرود در غربت,274,404,185.08,0.46
1.00002E+12,سیندرلا و افسانه شاه پریان-الاغ پرنده,14,35,12.3,0.35
1.00022E+14,نفس گرم قسمت 8,17,22,6.88,0.31
1.00003E+12,فردیناند,2120,4893,2339.28,0.48
1.00003E+12,مروارید سیاه ,85,118,55.72,0.47
1.00004E+12,آقای ربات فصل 1 قسمت 4,22,36,14.34,0.4
1.00022E+14,پایتخت فصل 1 قسمت 10,267,435,169.96,0.39
1.00004E+12,روزی روزگاری قسمت 11 و 12,189,330,173.67,0.53
1.00004E+12,پس از باران قسمت 4,45,59,23.05,0.39
1.00004E+12,شنل,323,568,270.79,0.48
1.00002E+12,شهر در امن و امان است,509,892,403.22,0.45
1.00022E+14,بچه رئیس قسمت 12,546,816,232.41,0.28
1.00002E+12,باب اسفنجی-ماقبل تاریخ,1468,3767,1939.53,0.51
1.00022E+14,ببخشید شما قسمت 22,4,5,2.68,0.54
1.00022E+14,اغما قسمت 27,44,55,19.78,0.36
1.00022E+14,پژمان قسمت 22,120,205,69.63,0.34
1.00022E+14,لیسانسه ها 2 قسمت 4,154,260,85.16,0.33
1.00022E+14,زندگی در دست تعمیر,100,163,63.15,0.39
1.00003E+12,تاینی تون قسمت 21,12,18,2.92,0.16
1.00003E+12,فرینج قسمت 2,100,165,83.37,0.51
1.00022E+14,شلدون جوان فصل دوم قسمت 21,101,153,36.67,0.24
1.00022E+14,کماندار 1 قسمت 2,570,951,367.84,0.39
1.00022E+14,ماشیناسورها 2 قسمت 6,6,18,3.91,0.22
1.00001E+12,فرار از زندان قسمت 4,211,335,148.72,0.44
1.00001E+12,پدر جان اول شما,214,422,226.66,0.54
1.10022E+14,کماندار فصل 4 قسمت 21,422,686,261.31,0.38
1.00022E+14,شنود فصل 1 قسمت 12,1,1,0.75,0.75
1.00022E+14,ته دنیا فصل 1 قسمت 9,32,48,13.39,0.28
1.00022E+14,هوش سیاه 2 قسمت 25,256,395,158.73,0.4
1.00022E+14,در چشم باد قسمت 20,49,66,22.18,0.34
1.00003E+12,بتمن آغاز می کند,519,876,562.91,0.64
1.00004E+12,پایتخت فصل 5 قسمت13,1186,2402,840.59,0.35
1.00022E+14,معصومیت از دست رفته قسمت 14,18,25,6.93,0.28
1.00004E+12,امام علی قسمت 3,90,134,68.34,0.51
1.00022E+14,فراری از قصر قسمت 14,52,93,31.49,0.34
1.00001E+12,گنج های سیرامادره,66,102,60.36,0.59
1.00022E+14,گاندو قسمت 15,362,663,293.58,0.44
1.00022E+14,سیاره زمین 2 قسمت 3,17,23,11.89,0.52
1.00022E+14,بچه رئیس فصل 2 قسمت 5,297,490,148.92,0.3
1.00022E+14,گلشیفته قسمت 14,3,4,1.87,0.47
1.00022E+14,مرد چرخنده,300,407,215.07,0.53
1.00022E+14,سقوط شوالیه قسمت 4,1,5,0.51,0.1
1.00022E+14,وایکینگ ها 5 قسمت 6,251,497,182.76,0.37
1.00022E+14,سریال 100 فصل 2 قسمت 8,384,621,247.29,0.4
1.00022E+14,مجنون فصل 1 قسمت 3,43,60,16.21,0.27
1.00022E+14,شش اژدهای پرنده فصل1 قسمت 12,123,202,104.08,0.52
1.00022E+14,گاتهام فصل 1 قسمت 6,63,109,44.45,0.41
1.00022E+14,ناپدید شدن,101,163,97.02,0.6
1.00022E+14,آوای باران قسمت 14,59,87,21.02,0.24
1.00022E+14,دکتر خوب قسمت 11,26,42,13.77,0.33
1.00022E+14,پیشتازان فضا: اکتشافات قسمت 9,21,28,17.3,0.62
1.00022E+14,وحشی,203,314,146.04,0.47
1.00022E+14,هیول آباد قسمت 15,11,27,3.25,0.12
1.00022E+14,فرینج فصل 4 قسمت 13,57,103,47.86,0.46
1.00001E+12,با نی نی 19,1,1,0.2,0.2
1.00022E+14,شکارچی ذهن فصل 1 قسمت 4,24,55,26.11,0.47
1.00022E+14,شکارچی ذهن فصل 1 قسمت 6,17,30,13.71,0.46
1.00022E+14,کلونی فصل 2 قسمت 12,14,22,8.39,0.38
1.00022E+14,شنود فصل 1 قسمت 1,36,45,17.8,0.4
1.10022E+14,انتقامجو,1661,3063,1531.77,0.5
1.00022E+14,تنهایی لیلا قسمت 22,22,35,9.5,0.27
1.00004E+12,پس از باران قسمت 10,90,130,45.18,0.35
1.00022E+14,یوسف پیامبر قسمت 33,247,433,123.82,0.29
1.00022E+14,آخرین روزهای زمستان قسمت 3,12,18,10.54,0.59
1.00022E+14,گاتهام فصل 2 قسمت18,72,117,50.57,0.43
1.00022E+14,ارمغان تاریکی قسمت 4,15,16,4.24,0.27
1.00022E+14,ارمغان تاریکی قسمت22,30,37,8.9,0.24
1.00022E+14,پلیس جوان قسمت 40,12,23,4.05,0.18
1.00022E+14,هیول آباد قسمت 2,22,29,5.2,0.18
1.00022E+14,لحظه گرگ و میش قسمت 32,20,25,5.32,0.21
1.00022E+14,قلاده قرمز,51,93,35.21,0.38
1.00003E+12,تاینی تون قسمت 15,13,15,5.24,0.35
1.00001E+12,عاشقانه قسمت 14,1,1,0.27,0.27
1.00022E+14,هوش سیاه 2 قسمت 26,335,465,261.44,0.56
1.00001E+12,فرار از زندان فصل 4 قسمت 13,187,399,138.37,0.35
1.00001E+12,پنهان شدن در نور,25,52,23.7,0.46
1.00004E+12,پس از باران قسمت 1,114,159,42.15,0.27
1.00022E+14,علی البدل قسمت 4,140,294,104.45,0.36
1.00022E+14,آسمان من قسمت 17,22,45,16.46,0.37
1.00022E+14,برادر جان قسمت 19,89,152,61.9,0.41
1.00022E+14,جاده طولانی گنگ,611,862,422.63,0.49
1.00003E+12,یک اتفاق تازه (آرشا1),29,32,3.07,0.1
1.00022E+14,برادران کری: مرد مرده راه میرود,105,124,56.52,0.46
1.00022E+14,ارمغان تاریکی قسمت 13,15,21,8.9,0.42
1.00022E+14,ماشیناسورها 2 قسمت 10,11,33,6.48,0.2
1.00022E+14,عقرب فصل 1 قسمت 11,323,560,254.87,0.46
1.00022E+14,بازگشت به خانه فصل 1 قسمت 6,23,45,14.37,0.32
1.00022E+14,مجنون فصل 1 قسمت 6,13,21,4.75,0.23
1.00001E+12,کافه حاشیه-شبنم فرشاد جو-قسمت 3,6,8,0.39,0.05
1.10022E+14,دروغ‌های کوچک بزرگ فصل 1 قسمت 4,50,66,22.49,0.34
1.10022E+14,ورود به سرزمین های بد فصل 3 قسمت 6,536,763,448.34,0.59
1.00022E+14,حفره فصل 1 قسمت 4,132,198,53.66,0.27
1.00022E+14,به من دروغ بگو فصل 3 قسمت 9,10,27,11,0.41
1.00002E+12,علاءالدین 3,216,353,125.82,0.36
1.00003E+12,تاریک قسمت 4,24,31,13.58,0.44
1.00022E+14,شمعدونی قسمت 49,138,226,135.42,0.6
1.00001E+12,فرار از زندان فصل 4 قسمت 24,229,392,201.94,0.52
1.00022E+14,نون خ قسمت 14,238,472,202.06,0.43
1.00022E+14,ری داناوان فصل 6 قسمت 8,10,37,9.5,0.26
1.00022E+14,بی خدا قسمت 4,26,40,23.2,0.58
1.00022E+14,آوای باران قسمت 39,79,104,23.28,0.22
1.00022E+14,کماندار 1 قسمت 6,4,6,1.93,0.32
1.00022E+14,پایان سفر,72,106,78.03,0.74
1.00022E+14,هتل بمبئی,1063,1968,1163.64,0.59
1.00022E+14,زنجیره قسمت 9,68,116,42.3,0.36
1.00022E+14,شلدون جوان فصل 1 قسمت 7,66,115,30.57,0.27
1.00022E+14,نارکو فصل 1 قسمت 5,110,215,106.48,0.5
1.00022E+14,برادر جان قسمت 21,103,162,72.56,0.45
1.00022E+14,سریال گاندو قسمت 28,440,771,337.17,0.44
1.00022E+14,احساس,800,1358,656.86,0.48
1.00022E+14,ری داناوان فصل 1 قسمت 6,19,31,14.37,0.46
1.00022E+14,آوای باران قسمت 34,48,65,20.87,0.32
1.00022E+14,ماه و پلنگ قسمت 8,42,65,20.42,0.31
1.00022E+14,سقوط شوالیه قسمت 7,1,1,0.7,0.7
1.00022E+14,اسپارک: دم فضایی,648,1085,590.93,0.54
1.00022E+14,سریال 100 فصل 2 قسمت 12,398,672,280.18,0.42
1.00022E+14,مرد آفتابی فصل 1 قسمت 11,70,123,50.5,0.41
1.00022E+14,قهرمان بزرگ شماره 6,3015,6700,3023.48,0.45
1.00022E+14,اطراف آرامش,72,97,42.85,0.44
1.00022E+14,آقای ربات فصل 2 قسمت 9,3,4,3.96,0.99
1.00022E+14,127 ساعت,145,230,98.94,0.43
1.00022E+14,تصنیف باستر اسکروگز,30,60,26.18,0.44
1.00022E+14,اعمال خشونت,265,378,193.75,0.51
1.00022E+14,ته دنیا فصل 1 قسمت 6,51,79,28.44,0.36
1.11002E+15,آکادمی گیم ایرانسل (روز اول-قسمت 1),135,139,24.57,0.18
1.00022E+14,مندی,248,330,83.19,0.25
1.00003E+12,پایتخت فصل 3 قسمت 9,626,1225,536,0.44
1.00022E+14,پایتخت فصل 1 قسمت 2,470,744,280.3,0.38
1.00004E+12,پایتخت فصل 5 قسمت14,1194,2407,842.77,0.35
1.00022E+14,هنچمن,282,473,236.86,0.5
1.00022E+14,افسانه خورشید و ماه قسمت 16,99,197,64.65,0.33
1.00022E+14,زنجیره فصل 2 قسمت10,76,111,55.51,0.5
1.00022E+14,پدرخوانده قسمت 4,2,4,1.04,0.26
1.00022E+14,آسمان من قسمت 8,26,46,8.51,0.18
1.00004E+12,شوکا-خراسان رضوی,2,2,0.3,0.15
1.00022E+14,هالوین,349,531,231.33,0.44
1.00002E+12,پلنگ صورتی و پالس قسمت 25,180,272,75,0.28
1.00022E+14,کیت قاتل,270,353,112.28,0.32
1.00004E+12,فلش قسمت 3,306,519,200.82,0.39
1.00006E+12,آوای باران قسمت 20,56,71,19.8,0.28
1.00022E+14,ستاره ساز قسمت 2,31,34,10.8,0.32
1.00022E+14,شب دهم قسمت 4,33,59,19.49,0.33
1.00022E+14,پژمان قسمت 1,437,664,272.37,0.41
1.00022E+14,آسمان من قسمت 28,23,35,8.32,0.24
1.00022E+15,ببخشید شما قسمت 13,16,25,11.74,0.47
1.00022E+14,رخنه کنندگان,14,28,7.22,0.26
1.00022E+14,هیول آباد قسمت 7,11,14,5.9,0.42
1.00022E+14,همتا 1 قسمت 5,6,6,4.19,0.7
