content id,content name,access users,access times,access duration (hour),average access duration (hour)
1.00002E+12,باب اسفنجی-ماقبل تاریخ,1332,3509,1860.48,0.53
1.00022E+14,پایتخت فصل 1 قسمت 10,268,567,165.62,0.29
1.00022E+14,لحظه گرگ و میش قسمت 50,41,54,37.91,0.7
1.00002E+12,سورپرایز شو قسمت 1,1,2,0.26,0.13
1.00004E+12,ابری با احتمال بارش کوفته قلقلی,476,945,487.74,0.52
1.00004E+12,چاپلین قسمت 2,150,302,102.06,0.34
1.00022E+14,1985,29,38,19.37,0.51
1.00022E+14,فوتبالیست ها جام جهانی قسمت1,741,1179,403.91,0.34
1.00022E+14,پاشنه بلند 2,805,1499,713.95,0.48
1.00022E+14,لژیون 1 قسمت 4,12,15,8.57,0.57
1.00022E+14,نارکو فصل 1 قسمت 7,38,60,48.74,0.81
1.00022E+14,وایکینگ ها 3 قسمت 4,269,439,161.34,0.37
1.00022E+14,حیوانات آمریکایی,64,128,51.11,0.4
1.0004E+16,سامورایی جک قسمت 15,11,12,2.72,0.23
1.0004E+16,سامورایی جک قسمت 38,5,5,1.77,0.35
1.00022E+14,میپل قسمت 20,1,1,0.21,0.21
1.00022E+14,هیول آباد قسمت 2,22,35,10.09,0.29
1.00022E+14,خون های آبی فصل 1 قسمت 15,15,30,13.38,0.45
1.00022E+14,سوپرایز شو قسمت 5,31,34,10.03,0.29
1.00022E+14,هری پاتر و تالار اسرار,311,777,539.36,0.69
1.11002E+15,فلش فصل2 قسمت22,8,10,3.53,0.35
1.00022E+14,مجازاتگر قسمت 10,65,131,46.83,0.36
1.00022E+14,فریب فصل 1 قسمت 7,31,49,21.09,0.43
1.00022E+14,فریب فصل 1 قسمت 10,30,58,20.56,0.35
1.00022E+14,حفره فصل 1 قسمت 3,96,128,35.21,0.28
1.00022E+14,حفره فصل 1 قسمت 5,94,138,51.81,0.38
1.00022E+14,زیرگنبد فصل 3 قسمت 4,46,95,24.85,0.26
1.00022E+14,ساختمان پزشکان قسمت 16,294,528,219.36,0.42
1.00022E+14,ستاره ساز قسمت 6,12,22,4.64,0.21
1.00022E+14,آخرین کشتی فصل 3 قسمت 3,92,137,72.08,0.53
1.00022E+14,سریال گاندو قسمت 22,238,453,203.51,0.45
1.00022E+14,گاندو قسمت 15,235,427,203.63,0.48
1.00022E+14,خون آبی فصل 3 قسمت 11,20,32,16.01,0.5
1.00022E+14,آخرین کشتی 2 قسمت 10,73,111,59.66,0.54
1.00022E+14,روباه,236,484,296.12,0.61
1.11002E+15,تبادل رنگ,1177,1685,768.02,0.46
1.00022E+14,با نی نی 2,8,11,5.07,0.46
1.00022E+14,6ابر قهرمان قسمت 1 و 2,410,636,255.35,0.4
1.00001E+12,فرار از زندان قسمت 2,316,515,214.18,0.42
1.00022E+14,خون آبی فصل 2 قسمت 1,13,15,4.45,0.3
1.00003E+12,یک اتفاق تازه (آرشا 4),10,10,0.45,0.04
1.00022E+14,بچه رئیس قسمت 12,445,724,194.73,0.27
1.00004E+12,پس از باران قسمت 10,79,121,40.48,0.33
1.00022E+14,پشت صحنه مرد هزار چهره,192,222,138.52,0.62
1.00022E+14,رد پای شغال,680,1202,508.28,0.42
1.00022E+14,بیدارشو آرزو,271,408,128.35,0.31
1.00022E+14,نابرده رنج قسمت28,165,300,99.14,0.33
1.00022E+14,گاتهام فصل 2 قسمت18,58,103,35.06,0.34
1.00022E+14,کماندار 1 قسمت 10,354,612,241.78,0.4
1.00022E+14,اغما قسمت 25,27,43,12.5,0.29
1.00022E+14,پژمان قسمت 22,115,177,70.52,0.4
1.00022E+14,دکتر خوب قسمت 11,40,71,20.06,0.28
1.00022E+14,باران فصل 1 قسمت 6,109,150,58.9,0.39
1.00022E+14,فرینج 2 قسمت 12,50,90,41.27,0.46
1.00022E+14,فراموشی,138,183,73.19,0.4
1.00022E+14,ری داناوان فصل 2 قسمت 12,2,2,3.38,1.69
1.00001E+12,شکار قسمت 3,50,61,20.22,0.33
1.00001E+12,خانه ایی در مزرعه,262,451,197.48,0.44
1.00002E+12,باب اسسفنجی-شهر گمشده (آتلانتیس),969,2402,1131.12,0.47
1.00002E+12,سیندرلا و افسانه شاه پریان-الاغ پرنده,17,25,7.33,0.29
1.00003E+12,مکس پین,379,622,321.48,0.52
1.00003E+12,یک اتفاق تازه(بهنوش بختیاری 7),3,3,0.14,0.05
1.00022E+14,معصومیت از دست رفته قسمت 14,9,10,8,0.8
1.00022E+14,فراری از قصر قسمت 14,57,103,55.5,0.54
1.00004E+12,پس از باران قسمت 9,78,114,32.97,0.29
1.00022E+14,ستاره ساز قسمت 22,13,17,7.02,0.41
1.00022E+14,هیول آباد قسمت 1,46,58,12.21,0.21
1.00022E+14,آوای باران قسمت 14,62,76,30.65,0.4
1.00022E+14,وحشی,205,334,157.24,0.47
1.00003E+12,ماموریت غیرممکن 3,549,974,596.38,0.61
