content id,content name,access users,access times,access duration (hour),average access duration (hour)
1.00022E+14,امام علی قسمت 16,60,107,40.88,0.38
1.00022E+14,دلخوشی,13,13,1.07,0.08
1.00022E+14,یک سنگ عجیب فصل 1 قسمت 6,13,20,10.79,0.54
1.00004E+12,شوکا-بوشهر,1,1,3.52,3.52
1.00004E+12,پس از باران قسمت 10,87,141,37.8,0.27
1.00022E+14,توپگیری که جاسوس بود,112,126,56.26,0.45
1.00022E+14,اشیا تیز فصل 1 قسمت 3 : ثابت,15,19,9.96,0.52
1.00022E+14,نفرتی که تو می کاری,103,235,109.77,0.47
1.00022E+14,اغما قسمت 24,18,29,5.99,0.21
1.00022E+14,بزنگاه قسمت 25,118,175,83.57,0.48
1.00022E+14,ارمغان تاریکی قسمت 12,11,16,4.55,0.28
1.00022E+14,هندی سطح متوسط,214,360,187.98,0.52
1.00022E+14,علی البدل قسمت 9,98,148,77.97,0.53
1.00022E+14,فرینج فصل 3 قسمت 11,45,96,36.59,0.38
1.00022E+14,نابرده رنج قسمت28,677,1052,397.1,0.38
1.00022E+14,بیرون نرو 102,270,408,242.87,0.6
1.00022E+14,شکارچی ذهن فصل 1 قسمت 4,12,17,14.12,0.83
1.00022E+14,مینو قسمت 2,28,35,13.58,0.39
1.00022E+14,امتیاز نهایی,827,1407,937.16,0.67
1.00022E+14,وایکینگ ها 5 قسمت 16,330,498,217.05,0.44
1.00001E+12,منچستر کنار دریا,4,4,7.12,1.78
1.00001E+12,فرار از زندان قسمت 5,231,411,149.51,0.36
1.00022E+14,اسکای لند قسمت 6,12,18,3.86,0.21
1.00022E+14,پلیس جوان قسمت 20,7,10,6.03,0.6
1.00001E+12,بن تن فصل 4 قسمت 3,224,320,118.08,0.37
1.00022E+14,زیرگنبد فصل 3 قسمت 6,53,79,34.76,0.44
1.00022E+14,در چشم باد قسمت 19,45,63,22.36,0.35
1.00022E+14,خون آبی فصل 2 قسمت 12,16,25,10.95,0.44
1.00022E+14,کماندار 1 قسمت 10,179,316,137.87,0.44
1.00003E+12,نگهبان قصه ها,285,494,271.12,0.55
1.00003E+12,اتاق خالی,512,732,400.64,0.55
1.00003E+12,سامورایی جک  قسمت 51,19,28,11.32,0.4
1.00003E+12,پایتخت فصل 2 قسمت 11,303,548,229.03,0.42
1.00003E+12,عظیم الجثه,108,131,83.59,0.64
1.00022E+14,خانه به دوش قسمت 27,290,432,300.2,0.69
1.00004E+12,چاپلین قسمت 2,88,130,57.39,0.44
1.00022E+14,یوسف پیامبر قسمت 5,155,231,95.1,0.41
1.00022E+14,فلش  قسمت 23,745,1037,731.52,0.71
1.00022E+14,افسانه خورشید و ماه قسمت 15,96,158,63.12,0.4
1.00022E+14,اغما قسمت 27,23,38,7.59,0.2
1.00022E+15,ببخشید شما قسمت 17,7,13,6.6,0.51
1.00022E+14,همتا 1 قسمت 4,15,19,14.83,0.78
1.00022E+14,ستاره ساز قسمت 39,13,13,5.23,0.4
1.00022E+14,نارکو فصل 1 قسمت 7,48,98,37.7,0.38
1.00022E+14,فراموشی,89,114,42.53,0.37
1E+12,مسابقه مرگ 4: فراتر از هرج و مرج,4220,8502,4848.14,0.57
1.00001E+12,فرار از زندان فصل 4 قسمت 18,183,327,132.29,0.4
1.00001E+12,فرار از زندان فصل 4 قسمت 3,214,367,156.99,0.43
1.00022E+14,به من دروغ بگو فصل 3 قسمت 8,15,19,10.81,0.57
1.00002E+12,سید پسر دانشمند,73,231,64.24,0.28
1.00022E+14,پایتخت فصل 1 قسمت 10,200,335,122.6,0.37
1.00022E+14,خانه,16,16,6.74,0.42
1.00022E+14,ری داناوان فصل 5 قسمت 4,23,30,20.19,0.67
1.00022E+14,بچه رئیس قسمت 12,442,708,188.36,0.27
1.00022E+14,وایکینگ ها 2 قسمت 2,259,453,171.82,0.38
1.00022E+14,سریال گاندو قسمت 22,624,1073,439.61,0.41
1.00022E+14,وایکینگ ها 5 قسمت 6,295,514,204.56,0.4
1.00022E+14,گریز از مرگ,164,183,26.69,0.15
1.00022E+14,سریال روک فصل 1 قسمت 1,1160,1535,588.06,0.38
1.00022E+14,کتابفروش,48,53,17.31,0.33
1.00022E+14,باران فصل 1 قسمت 6,73,98,40.71,0.42
1.00002E+12,قصه سگ و گربه,50,61,25.67,0.42
1.00003E+12,یک اتفاق تازه (آرشا 4),4,4,0.39,0.1
1.00004E+12,مجله آشپزی فلفل(رولت شکلاتی کاستارد),8,10,1.26,0.13
1.00022E+14,گلشیفته قسمت 14,2,2,0.88,0.44
1.00022E+14,سیاره زمین 2 قسمت 3,9,13,6.73,0.52
1.00003E+12,پایتخت فصل 3 قسمت 9,635,1192,550.7,0.46
1.00003E+12,به من دروغ بگو قسمت 6,23,33,14.12,0.43
1.00006E+12,هفته ای برای,55,76,25.26,0.33
1.00022E+14,شمعدونی قسمت 49,107,139,112.94,0.81
1.00022E+14,ماه و پلنگ قسمت 17,28,46,11.93,0.26
1.00022E+14,آوای باران قسمت 39,78,109,25.76,0.24
1.00022E+14,گرینگو,49,58,37.19,0.64
1.00022E+14,ری داناوان فصل 5 قسمت 8,33,50,55.92,1.12
1.00022E+14,کریپتون فصل 1 قسمت 1,111,173,59.22,0.34
1.00022E+14,وایکینگ ها 4 قسمت 5,260,440,161.32,0.37
1.00022E+14,فرینج 2 قسمت 10,50,84,43.44,0.52
1.00022E+14,صبرکن تا هلن بیاد,292,417,225.58,0.54
1.00022E+14,عصر جدید فصل 2 قسمت 7,219,387,139.56,0.36
1.00022E+14,فرینج فصل 3 قسمت 3,52,114,37.27,0.33
1.00022E+14,پژمان قسمت 20,101,154,56.63,0.37
1.00022E+14,ته دنیا فصل 1 قسمت 10,31,38,29.23,0.77
1E+12,سنگر 11,1237,1831,1053.55,0.58
1.00022E+14,سیدی,7,8,1.17,0.15
1.00022E+14,به من دروغ بگو فصل 3 قسمت 4,12,20,9.17,0.46
1.00022E+14,گاندو قسمت 13,963,1698,741.65,0.44
1.00022E+14,نامحدود,1584,2799,1802.96,0.64
1.00022E+14,آخرین کشتی فصل 3 قسمت 1,664,1086,460.86,0.42
1.00022E+14,فلش قسمت 15,408,670,274.73,0.41
1.00001E+12,بن تن فصل 2 قسمت 13,458,625,331.06,0.53
1.00022E+14,پایتخت فصل 1 قسمت 2,321,484,178.48,0.37
1.00022E+14,زیر تیغ قسمت 17,31,52,21.48,0.41
1.00001E+12,فیلم لگو,304,529,279.18,0.53
1.00022E+14,نفس گرم قسمت 7,14,27,8.56,0.32
1.00022E+14,نون خ قسمت 7,155,262,140.24,0.54
1.00022E+14,افسانه خورشید و ماه قسمت 12,92,168,67.74,0.4
1.00022E+14,لحظه گرگ و میش قسمت 40,20,33,6.66,0.2
1.00004E+12,آقای ربات فصل 2 قسمت 2,10,11,8.68,0.79
1.00006E+12,آجین: نیمه انسان,554,1006,599.53,0.6
1.00022E+14,اغما قسمت 6,30,42,9.12,0.22
1.00022E+14,اغما قسمت 7,24,31,7.32,0.24
1.00022E+14,نابرده رنج قسمت30,710,1105,473.55,0.43
1.00022E+14,سرگذشت ندیمه فصل 1 قسمت 9,7,9,4.72,0.52
1.00022E+14,یوسف پیامبر قسمت 32,237,393,138.9,0.35
1.00022E+14,ماه و پلنگ قسمت 5,20,24,13.41,0.56
1.00022E+14,احساس,770,1284,645.08,0.5
1.00022E+14,تلقین,1917,3003,1800.25,0.6
1.00022E+14,شوخی 1 قسمت 5,1,1,0.4,0.4
1.00022E+14,بچه رئیس فصل 2 قسمت 4,258,412,127.44,0.31
1.00022E+14,عشق متحرک,9,10,9.9,0.99
1.00022E+14,غول کش ها قسمت 3,283,409,132.1,0.32
1.00001E+12,بازگشت به آینده 3,369,609,340.52,0.56
1.00001E+12,طلا,45,104,48.06,0.46
1.00002E+12,کوه,88,103,19.2,0.19
1.00022E+14,ساختمان پزشکان قسمت 36,181,329,149.43,0.45
1.00006E+12,جنگ پرتقالی,57,59,8.4,0.14
1.00022E+14,ماه و پلنگ قسمت 28,19,42,6.04,0.14
1.00022E+14,مسافران فصل 1 قسمت 2,113,154,83.42,0.54
1.00022E+14,دکتر خوب قسمت 2,31,51,23.04,0.45
