content id,content name,access users,access times,access duration (hour),average access duration (hour)
1.11002E+15,چادر,25,33,10.14,0.31
1.11002E+15,اسمه و روی فصل 1 قسمت 24,11,22,5.1,0.23
1.11002E+15,دات فصل 1 قسمت 2,9,15,1.22,0.08
1.11002E+15,ماجراهای داک فصل 2 قسمت 7,2,2,2.42,1.21
1.11002E+15,نبض جنگل,69,134,52.81,0.39
1.11002E+15, باب اسفنجی : اسفنج در حال فرار,531,967,352.27,0.36
1.00022E+14,غذای شما,58,127,38.31,0.3
1.11002E+15,سریال نون خ فصل 2 قسمت 6,44,125,33.29,0.27
1.11002E+15,زیرخاکی فصل1 قسمت 8,14,23,6.7,0.29
1.00001E+12,فرار از زندان فصل 2 قسمت 6,28,50,17.01,0.34
1.11002E+15, لیست پرواز فصل 1 قسمت 6,23,46,14.4,0.31
1.11002E+15,لینکلن رایم: شکار برای جمع کننده استخوان  فصل 1 قسمت 7,1,1,0.63,0.63
1.00022E+14,گریز از مرگ,66,72,14.77,0.21
1.11002E+15, آنه شرلی فصل 2 قسمت 1,9,15,5.32,0.35
1.11002E+15,پاندای کونگ فو کار: افسانه های شگفت انگیز فصل 1 قسمت 1,120,174,53.57,0.31
1.11002E+15,آمفیبیا فصل 1 قسمت 27,10,21,2.51,0.12
1.00022E+14,فریب فصل 1 قسمت 3,3,4,1.67,0.42
1.00022E+14,جاسوسی که مرا رها کرد,38,53,27.75,0.52
1.00022E+14,ساختمان پزشکان قسمت 9,24,41,18.8,0.46
1.00022E+14,هوش سیاه 2 قسمت 4,38,61,25.06,0.41
1.00022E+14,لحظه گرگ و میش قسمت 50,1,1,0.04,0.04
1.00022E+14,شبکه اجتماعی,2,2,2.32,1.16
1.00022E+14,زنجیره فصل 2 قسمت9,15,32,11.23,0.35
1.11002E+15,در حاشیه فصل 1 قسمت 10,69,126,40.12,0.32
1.10022E+14,سریال سیاره آبی 2 فصل 1 قسمت 2,1,1,0.08,0.08
1.11002E+15,فلش فصل 3 قسمت15,5,11,3.75,0.34
1.11002E+15,تبادل رنگ,5,7,1.29,0.18
1.11002E+15,نینجای شطرنجی,41,119,26.38,0.22
1.11002E+15,فلش فصل2 قسمت22,4,5,1.75,0.35
1.11002E+15,ورود به سرزمین های بد فصل 3 قسمت 16,22,31,11.1,0.36
1.11002E+15,100 فصل 3 قسمت 12,21,45,15.38,0.34
1.11002E+15,مسافران فصل 2 قسمت 8:مسافر0027,4,13,2.44,0.19
1.11002E+15,کشتن فصل 1 قسمت 11,1,1,0.14,0.14
1.00022E+14,مردان سیاهپوش: بین المللی,15,31,9.8,0.32
1.11002E+15,پیامی از سوی پادشاه,9,17,2.99,0.18
1E+12,1917,106,242,94.27,0.39
1.00003E+12,کوکو,130,348,125.71,0.36
1.00022E+14,هندی سطح متوسط,40,104,39.79,0.38
1.00022E+14,شلدون جوان فصل 1 قسمت 8,38,51,19.16,0.38
1.00022E+14,آخرین کشتی 2 قسمت 6,8,18,7.61,0.42
1.00022E+14,بزنگاه قسمت 14,10,20,6.47,0.32
1.00022E+14,لامبورگینی,1438,2322,815.07,0.35
1.00004E+12,پس از باران قسمت 5,4,4,1.32,0.33
1.00022E+14,حاشیه اقیانوس آرام 2,37,122,43.93,0.36
1.00022E+14,ماه و پلنگ قسمت 16,15,31,7.99,0.26
1.00022E+14,هری پاتر و تالار اسرار,25,146,49.53,0.34
1.00001E+12,خانه ایی در مزرعه,18,36,10.21,0.28
1.00001E+12,ساعت شلوغی 3,31,71,24.49,0.34
1.00002E+12,اعتراف به گناه,16,19,9.59,0.5
1.00022E+14,تاریک قسمت 7,10,19,8.14,0.43
1.00022E+14,زنجیره قسمت 1,49,70,21.32,0.3
1.00022E+14,تاکسی 5,66,122,44.17,0.36
1.00002E+12,باب اسفنجی-ماقبل تاریخ,182,426,151.64,0.36
1.11002E+15,یکی از ما دو نفر,31,47,30.25,0.64
1.11002E+15,قهرمان دو سرعت,11,15,2.77,0.18
1.11002E+15,رعد و برق می روند فصل 1 قسمت 5,3,3,2.79,0.93
1.11002E+15,خدمتکار فصل 1 قسمت 6,8,9,4.32,0.48
1.11002E+15,مهاجرت قسمت 1,6,7,6.07,0.87
1.11002E+15,شرلوک فصل 4 قسمت 2,24,70,33.52,0.48
1.11002E+15,دیکنزین فصل 1 قسمت 7,2,3,2.7,0.9
1.11002E+15,اژدها سواران فصل 6 قسمت 7,7,12,3.81,0.32
1.11002E+15,بره ناقلا فصل 1 قسمت 1و2و3و4و5,692,1310,496.36,0.38
1.11002E+15, برو! برو! کوری کارسون فصل 1 قسمت 6,27,42,6.41,0.15
1.11002E+15,ترمیناتور فصل 2 قسمت 5,3,5,1.35,0.27
1.11002E+15, پاندمی: چگونه از شیوع یک بیماری جلوگیری کنیم فصل 1 قسمت 2,1,1,0.37,0.37
1.11002E+15,باران فصل 2 قسمت 6,7,8,4.32,0.54
1.11002E+15,اسمه و روی فصل 1 قسمت 16,8,9,3.28,0.36
1.11002E+15,اسمه و روی فصل 1 قسمت 23,16,28,3.51,0.13
1.11002E+15,پاپلزها فصل 1 قسمت 10,6,13,3.89,0.3
1.11002E+15,ماجراهای داک فصل 2 قسمت 10,3,4,0.73,0.18
1.11002E+15,روبی رنگین کمان قسمت 4,21,36,10.42,0.29
1.11002E+15,مورتال کامبت:انتقام اسکورپیون ,353,798,279.2,0.35
1.11002E+15,گزارش,1,1,0.08,0.08
1.11002E+15,سرنگتی فصل 1 قسمت 2,21,62,14.94,0.24
1.11002E+15,شکارچیان فصل 1 قسمت 1,6,10,2.98,0.3
1.11002E+15,فلش فصل 4 قسمت 5-6,4,7,2.1,0.3
1.11002E+15,غریبه های صمیمی ,19,21,11.06,0.53
1.11002E+15,باب معمار قسمت 12,2,4,0.6,0.15
1.11002E+15,پاندای کونگ فو کار: افسانه های شگفت انگیز فصل 3 قسمت 13,12,19,5.88,0.31
1.11002E+15,هپی! فصل 1 قسمت 1,51,76,27.55,0.36
1.11002E+15, داستان زندگی فصل 1 قسمت 1,10,11,4.62,0.42
1.11002E+15,چند میگیری گریه کنی,60,118,41.97,0.36
1.11002E+15,پل فصل 1 قسمت 1,6,11,1.46,0.13
1.11002E+15,پاچاماما,27,35,12.45,0.36
1.11002E+15,متهم گریخت قسمت 13,41,77,38.23,0.5
1.11002E+15,خانه اسکناس فصل 1 قسمت 12,7,8,3.37,0.42
1.11002E+15,نارکو فصل 4 قسمت 6,1,2,0.69,0.35
1.11002E+15,سیاره متخاصم فصل 1 قسمت 4,14,27,12.69,0.47
1.00003E+12,خلافکاران میامی,9,17,3.77,0.22
1.00003E+12,پایتخت فصل 2 قسمت 11,26,62,19.71,0.32
1.00004E+12,پس از باران قسمت 30,1,2,0.35,0.18
1.00006E+12,شماره 17 سهیلا,23,63,17.05,0.27
1.00022E+14,کیف انگلیسی قسمت 3,5,7,4.4,0.63
1.00022E+14,اسکای لند قسمت 6,1,1,0.41,0.41
1.00022E+14,مجازاتگر قسمت 10,5,9,4.09,0.45
1.00022E+14,به من دروغ بگو فصل 2 قسمت 13,1,1,0.53,0.53
1.00022E+14,ماشیناسورها 1 قسمت 8,15,18,6.95,0.39
1.00022E+14,پیشتازان فضا فصل 1 قسمت 14,5,6,2.87,0.48
1.00022E+14,پلیس جوان قسمت 19,1,5,0.54,0.11
1.00022E+14,ساختمان پزشکان قسمت 47,7,12,4.82,0.4
1.00022E+14,رد پای شغال,123,206,85.59,0.42
1.00022E+14,تعطیلات رویایی قسمت10,1,1,0.72,0.72
1.00022E+14,عصر جدید فصل 2 قسمت 5,2,2,0.27,0.13
1.00022E+14,امتیاز نهایی,81,145,71.54,0.49
1.00022E+14,شنود فصل 1 قسمت 3,2,2,0.99,0.5
1.00001E+12,گنج های سیرامادره,11,23,11.33,0.49
1.11002E+15,تنهاترین سردار قسمت 1,2,3,0.9,0.3
1.11002E+15,تات قسمت 1,14,20,10.22,0.51
1.10022E+14,شش اژدهای پرنده قسمت 24,1,2,0.9,0.45
1.11002E+15,در حاشیه فصل 1 قسمت 9,69,124,40.74,0.33
1.11002E+15,کاشوخین قسمت 8,1,2,0.14,0.07
1.11002E+15,ویلای من قسمت 25,10,17,5.54,0.33
1.11002E+15,فارسی دوم ابتدایی,1,1,0.02,0.02
1.11002E+15,آچمز قسمت 28,6,8,3.11,0.39
1.11002E+15,جواهرات تراش‌نخورده,5,7,5.63,0.8
1.11002E+15,موزائیک فصل 1 قسمت 3,1,1,0.5,0.5
1.11002E+15,دورهمی قسمت 11,10,13,4.78,0.37
1.11002E+15, هفت جهان یک سیاره فصل 1 قسمت 5,12,17,5.76,0.34
1.11002E+15,پاندای کونگ فو کار: افسانه های شگفت انگیز فصل 2 قسمت 18,11,20,5.11,0.26
1.11002E+15,ملکه کی قسمت 19,9,23,8.21,0.36
1.11002E+15,اژدها سواران فصل 2 قسمت 16,5,13,1.84,0.14
1.11002E+15,کبری کای فصل 1 قسمت 2,5,12,1.76,0.15
1.11002E+15,سوتز فصل 2 قسمت 1,3,3,0.7,0.23
1.11002E+15,پینوکیو,77,155,77.19,0.5
1.11002E+15,توپ های انفجاری  فصل 1 قسمت 10,6,10,1.2,0.12
1.11002E+15,اورویل فصل 1 قسمت 2,1,2,0.74,0.37
1.11002E+15,تعزیه,1,1,0.04,0.04
1.11002E+15,الهی عظم البلا ...,1,1,0.08,0.08
1.11002E+15,ساحره: قسمت 1- انهدام,77,119,85.61,0.72
1.11002E+15,چرخ های آتشین فصل 5 قسمت 14,4,7,3.77,0.54
1.00022E+14,گاندو قسمت 15,96,223,65.44,0.29
1.00022E+14,آخرین کشتی فصل 3 قسمت 10,6,13,4.24,0.33
1.10022E+14,ستاره ساز قسمت 44,3,4,2.87,0.72
1.11002E+15,مسابقات سوپربال 2019,30,33,10.32,0.31
1.11002E+15,مجازاتگر فصل 2 قسمت 5:جک یک چشم,4,6,1.28,0.21
1.11002E+15,ستایش فصل 3 قسمت 16,15,39,6.66,0.17
1.11002E+15,سایه های آبی فصل 1 قسمت 7,1,1,0.52,0.52
1.00022E+14,ریکاوری قسمت 1,20,29,11.31,0.39
1.11002E+15,شخصیت فصل 1 قسمت 3,1,1,0.02,0.02
1.00004E+12,رزیدنت فصل 1 قسمت 3,3,9,4.23,0.47
