content id,content name,access users,access times,access duration (hour),average access duration (hour)
1.00E+14,قصه های مجید 5- ملخ دریایی,4,5,1.32,0.26
1.00E+14,تعطیلات رویایی قسمت10,1,2,0.44,0.22
1.10E+14,ورود به سرزمین های بد فصل 3 قسمت 9,19,36,13.13,0.36
1.11E+15,ستایش فصل 3 قسمت 33,8,15,4.73,0.32
1.11E+15,زوج یا فرد قسمت 14,9,28,7.56,0.27
1.11E+15,مظنون فصل 4 قسمت14,2,6,1.39,0.23
1.11E+15,ماموران شیلد فصل 1 قسمت 9,2,5,0.99,0.2
1.11E+15,داستان اسباب بازی 4,66,108,34.71,0.32
1.11E+15,امپراطوری,26,111,34.1,0.31
1.00E+14,سیاره زمین 2 قسمت 3,2,3,1.52,0.51
1.00E+14,کماندار 1 قسمت 13,47,99,32.59,0.33
1.00E+14,هری پاتر و یادگاران مرگ - قسمت اول,14,60,13.63,0.23
1.00E+14,شلدون جوان فصل 1 قسمت 1,32,48,13.47,0.28
1.00E+14,همسر,6,13,3.54,0.27
1.00E+14,یوسف پیامبر قسمت 33,29,72,15.1,0.21
1.00E+14,نانسی,2,2,1.28,0.64
1.00E+14,پاشنه بلند,39,93,38.24,0.41
1.00E+14,پاشنه بلند 2,149,290,106.15,0.37
1.00E+14,فرینج فصل 3 قسمت 8,7,11,4.34,0.39
1.11E+15,کماندار فصل 5 قسمت 4,11,22,6.85,0.31
1.00E+14,آسمان من قسمت 10,3,4,1.31,0.33
1.00E+14,کسل راک قسمت 8,1,1,0.74,0.74
1.11E+15,اسلاگترا قسمت 13,9,22,8.01,0.36
1.11E+15,قهرمان دو سرعت,6,14,6.12,0.44
1.00E+14,نابرده رنج قسمت 8,26,51,17.05,0.33
1.11E+15,شرلوک فصل 4 قسمت 2,20,67,25.92,0.39
1.00E+14,نابرده رنج قسمت28,15,21,8.18,0.39
1.11E+15,هپی! فصل 1 قسمت 8,4,5,1.37,0.27
1.00E+14,ترور فصل 1 قسمت 1,23,36,12.95,0.36
1.00E+14,لامبورگینی,836,1294,485.49,0.38
1.00E+14,شلدون جوان فصل 2 قسمت 8,7,11,1.95,0.18
1.11E+15,ماموریت محرمانه,8,17,4.28,0.25
1.00E+14,سریال 100 فصل 2 قسمت 8,20,44,10.45,0.24
1.11E+15,فوق لیسانسه ها قسمت 18,10,26,10.2,0.39
1.11E+15,زن خفاشی فصل 1 قسمت 4,1,2,0.59,0.29
1.11E+15,فلش فصل 4 قسمت 22,6,12,5.2,0.43
1.00E+12,چاپلین قسمت 2,10,14,5.02,0.36
1.00E+14,فرینج فصل 4 قسمت 13,12,22,9.07,0.41
1.11E+15,سه قهرمان: وارث تاج و تخت,7,17,4.2,0.25
1.10E+14,ورود به سرزمین های بد فصل 3 قسمت 8,23,42,15.74,0.37
1.11E+15,شتاب,14,17,5.51,0.32
1.00E+14,زیرگنبد فصل 3 قسمت 4,13,17,6.55,0.39
1.00E+14,ساختمان پزشکان قسمت 39,13,24,13.82,0.58
1.00E+14,پایتخت فصل 1 قسمت 6,22,42,11.76,0.28
1.00E+14,نون خ قسمت 8,32,59,28,0.47
1.00E+14,شمعدونی قسمت 17,4,9,2.42,0.27
1.11E+15,100 فصل 3 قسمت 12,10,25,7.63,0.31
1.11E+15,توقف‌ناپذیر,16,28,6.44,0.23
1.00E+12,پایتخت فصل 2 قسمت 10,79,144,65.7,0.46
1.00E+12,فرینج قسمت 2,13,26,10.73,0.41
1.11E+15,مرز وظیفه,87,153,69.87,0.46
1.00E+14,فرینج فصل 4 قسمت 6,11,21,9.53,0.45
1.00E+12,شنل,11,24,6.99,0.29
1.00E+14,امام علی قسمت 16,7,22,4.96,0.23
1.00E+14,زنجیره قسمت 1,28,57,13.72,0.24
1.00E+14,ساختمان پزشکان قسمت 11,22,37,12.53,0.34
1.10E+14,گذرگاه فصل 1 قسمت 9,2,4,2.14,0.54
1.11E+15, سگ های پیر مکار,4,6,1.76,0.29
1.00E+14,لحظه گرگ و میش قسمت 10,1,1,0.06,0.06
1.11E+15,افسانه های فردا فصل 2 قسمت 1,1,1,0.02,0.02
1.11E+15,خط ویژه,159,397,168.83,0.43
1.11E+15,داره صبح میشه,14,32,9.69,0.3
1.11E+15,نوروز قسمت 2,8,11,6.43,0.58
1.00E+14,کماندار 1 قسمت 2,14,35,7.81,0.22
1.00E+14,افسانه خورشید و ماه قسمت 15,4,6,3.25,0.54
1.00E+14,شبکه اجتماعی,4,10,2.77,0.28
1.00E+12,شجریان خسرو شیرین پناه,34,42,11.93,0.28
1.00E+12,فرار از زندان فصل 2 قسمت 4,20,58,12.54,0.22
1.00E+12,فرار از زندان فصل 2 قسمت 7,22,58,17.32,0.3
1.00E+12,اعتراف به گناه,30,46,11.86,0.26
