content id,content name,access users,access times,access duration (hour),average access duration (hour)
1.00022E+14,خانه به دوش قسمت 17,66,115,37.91,0.33
1.00022E+14,خانه به دوش قسمت 1,356,603,177.06,0.29
1.00022E+14,آوای باران قسمت 35,10,13,3.62,0.28
1.00022E+14,هری پاتر و تالار اسرار,59,212,65.32,0.31
1.00022E+14,روباه,40,114,42.62,0.37
1.00022E+14,نفس گرم قسمت 8,1,1,0.59,0.59
1.00022E+14,عصر جدید قسمت 1,35,70,9.65,0.14
1.00022E+14,عصرجدید قسمت 10,3,4,0.81,0.2
1.00022E+14,غذای شما,143,224,80.35,0.36
1.00022E+14,شش اژدهای پرنده فصل1 قسمت 6,2,8,1.34,0.17
1.10022E+14,کماندار فصل 4 قسمت 23,19,41,12.7,0.31
1.00003E+12,ماجرای جکی چان قسمت 1,24,45,18.31,0.41
1.00022E+14,ببخشید شما قسمت 34,1,1,2.02,2.02
1.00022E+14,گریز از مرگ,102,122,20.88,0.17
1.00004E+12,رزیدنت فصل 1 قسمت 3,1,1,0.69,0.69
1.00001E+12,فرار از زندان فصل 4 قسمت 3,33,62,26.5,0.43
1.00004E+12,پس از باران قسمت 10,4,6,0.73,0.12
1.00004E+12,امام علی قسمت 3,14,27,10.72,0.4
1.00004E+12,جشن قهرمانی پرسپولیس قسمت 1,1,1,0.02,0.02
1.00022E+14,زندگی در دست تعمیر,10,29,6.51,0.22
1.11002E+15,بانوی سردار قسمت 8,27,58,20.66,0.36
1.00022E+14,علی البدل قسمت 9,22,50,14.98,0.3
1.00022E+14,کماندار فصل 2 قسمت 9,28,68,20.01,0.29
1.00022E+14,کمینگاه دزدان,58,125,58.13,0.47
1.00022E+14,حفره فصل 1 قسمت 6,9,13,2.65,0.2
1.00022E+14,ساختمان پزشکان قسمت 9,37,67,30.4,0.45
1.00022E+14,کلونی فصل 3 قسمت 2,1,1,0.67,0.67
1.11002E+15,در شب زنده بمان,724,1194,417.29,0.35
1.00003E+12,دانلد داک قسمت 10,3,5,0.48,0.1
1E+12,خنده های آتوسا,10,11,3.96,0.36
1.00001E+12,فرار از زندان فصل 2 قسمت 11,38,95,31.2,0.33
1.00001E+12,پدر جان اول شما,385,774,297.83,0.38
1.11002E+15,سه خرس کله پوک فصل 1 قسمت 6,122,178,37.88,0.21
1.00002E+12,اعتراف به گناه,15,22,11.42,0.52
1.00022E+14,امام علی قسمت 16,5,11,4.82,0.44
1.00022E+14,زنجیره قسمت 1,37,51,12.61,0.25
1.11002E+15, اولترامن فصل 1 قسمت 6,24,30,5.98,0.2
1.11002E+15,پیدایش فصل 1 قسمت 13,16,27,9.55,0.35
1.11002E+15,سوپرگرل فصل 2 قسمت 17,18,29,9.76,0.34
1.11002E+15, ولترون: افسانه مدافعان فصل 4 قسمت 1,10,13,2.47,0.19
1.11002E+15,گریم فصل 4 قسمت 15,15,32,11.32,0.35
1.11002E+15,هایکیو فصل 2 قسمت 8,27,44,7.16,0.16
1.11002E+15, لیست پرواز فصل 1 قسمت 6,50,101,40.1,0.4
1.00022E+14,گاتهام فصل 1 قسمت 7,8,14,8.49,0.61
1.00022E+14,عصر جدید فصل 2 قسمت 5,4,5,0.88,0.18
1.11002E+15,ریزه میزه,62,91,17.62,0.19
1.11002E+15,مظنون فصل 2 قسمت 8,4,4,0.86,0.21
1.11002E+15,حلقه,428,855,280.6,0.33
1.11002E+15,پرنسس صوفیا قسمت 13و14,68,114,33.26,0.29
1.11002E+15,کاشوخین قسمت 8,2,2,0.48,0.24
1.11002E+15,فارسی دوم ابتدایی,1,1,0.03,0.03
1.11002E+15,حریم,143,319,108.56,0.34
1.11002E+15,پاندای کونگ فو کار فصل 1 قسمت 7 : یک بدبختی بزرگ در روستای پاندا,20,38,12.22,0.32
1.11002E+15,سرزمین بد,132,309,128.43,0.42
1.11002E+15,جواهرات تراش‌نخورده,5,13,2.79,0.21
1.11002E+15,چند میگیری گریه کنی,76,155,56.98,0.37
1.11002E+15,امینس هیل,64,125,62.91,0.5
1.11002E+15,شرلوک فصل 4 قسمت 3,24,77,22.66,0.29
1.11002E+15,متهم گریخت قسمت 4,72,119,53.58,0.45
1.11002E+15,پیکی بلایندرز فصل 3 قسمت 6,7,9,2.26,0.25
1.11002E+15,لاین واکر ۲: جاسوس نامرئی,47,95,37.45,0.39
1.00022E+14,ری داناوان فصل 4 قسمت 2,1,4,2.14,0.53
1.11002E+15,دکتر هاوس فصل 1 قسمت 5,1,3,0.36,0.12
1.11002E+15,گاتهام فصل 3 قسمت 19,4,15,2.67,0.18
1.00022E+14,لینک گمشده,29,78,21.72,0.28
1.00022E+14,کماندار فصل 4 قسمت 15,14,32,11.91,0.37
1.11002E+15, ترداستون فصل 1 قسمت 3,68,142,54.74,0.39
1.11002E+15,خانه اسکناس فصل 2 قسمت 8,14,29,7.34,0.25
1.11002E+15,اژدها سواران فصل 5 قسمت 1,46,86,19.93,0.23
1.00003E+12,نگهبان قصه ها,52,103,34.54,0.34
1.00003E+12,سامورایی جک  قسمت 51,1,2,0.11,0.06
1.00022E+14,اسکای لند قسمت 3,1,1,0.38,0.38
1.00022E+14,اسکای لند قسمت 6,1,1,0.39,0.39
1.00022E+14,وایکینگ ها 4 قسمت 3,44,86,23.92,0.28
1.00022E+14,پاشنه بلند 2,350,654,212.82,0.33
1.11002E+15,اهریمن: به نیمه تاریک خودت خوش آمدی فصل 1 قسمت 2,13,23,9.71,0.42
1.11002E+15,جنگ دنیاها فصل 1 قسمت 2,6,8,1.64,0.2
1.00001E+12,مرد مورچه ای,24,56,21.23,0.38
1.11002E+15,گریم فصل 1 قسمت 1,146,264,73.69,0.28
1.11002E+15,به سوی ستارگان,8,16,8.95,0.56
1.00022E+14,کماندار فصل 4 قسمت 4,14,24,8.4,0.35
1.11002E+15,نارکو فصل 2 قسمت 2,4,4,3.48,0.87
1.11002E+15,نارکو فصل 2 قسمت 9,2,5,1.43,0.29
1.11002E+15,ملکه کی قسمت 4,26,51,16.66,0.33
1.11002E+15,اصل و نسب فصل 1 قسمت 1,8,13,1.97,0.15
1.11002E+15,خروس قسمت 12,3,6,2.01,0.33
1.11002E+15,قفل و کلید فصل 1 قسمت 3,15,24,7.13,0.3
1.11002E+15, ولترون: افسانه مدافعان فصل 2 قسمت 13,4,8,1.38,0.17
1.11002E+15,لوک کیج فصل 1 قسمت 8,4,13,2.58,0.2
1.11002E+15,فلش فصل 4 قسمت 5-6,4,14,4.72,0.34
1.11002E+15,مظنون فصل 1 قسمت 21,1,2,0.59,0.3
1.11002E+15,تایتان فصل 2 قسمت 11:ای ال ا,2,2,0.64,0.32
1.11002E+15,مظنون فصل 3 قسمت16,2,2,1.33,0.66
1.11002E+15,گاتهام فصل 3 قسمت 4,6,15,2.05,0.14
1.11002E+15,ال چاپو فصل 2 قسمت 4,6,12,3.08,0.26
1.11002E+15,ستاره حلبی فصل 2 قسمت 4,1,1,0.05,0.05
1.11002E+15,تعزیه 10,4,6,0.46,0.08
1.11002E+15,نماهنگ 2,1,1,0.06,0.06
1.11002E+15,چرخ های آتشین فصل 4 قسمت 10,4,15,2.65,0.18
1.11002E+15,دردویل فصل 3 قسمت 4,2,10,1.63,0.16
1.11002E+15,فلش فصل2 قسمت21,4,5,2.01,0.4
1.11002E+15,ماموران شیلد فصل 2 قسمت 1,2,7,1.4,0.2
1.11002E+15,ماه عسل قسمت 15,1,1,0.78,0.78
1.11002E+15,آقای میانجی فصل 1 قسمت  1و2,1,1,0.06,0.06
1.11002E+15,کماندار فصل 5 قسمت 4,8,12,4,0.33
1.11002E+15,زنجیره فصل 4 قسمت 5,3,4,2.31,0.58
1.11002E+15, مامان پری و هیزم شکن فصل 1 قسمت 10,1,1,0.39,0.39
1.00022E+14,سینگ شاه است,39,53,15.32,0.29
1.00022E+14,گرینگو,12,14,9.5,0.68
1.00022E+14,کریپتون فصل 1 قسمت 1,5,5,3.96,0.79
1.00022E+14,وایکینگ ها 4 قسمت 12,39,82,20.21,0.25
1.00003E+12,گربه های آفریقایی,38,90,35.58,0.4
1.00003E+12,نارنیا,59,120,40.06,0.33
1.00022E+14,باب معمار:ماشین های عظیم الجثه,74,163,52.63,0.32
1.00022E+14,مینو قسمت 14,3,5,1.51,0.3
1.00022E+14,حوض نقاشی,96,205,55.1,0.27
