content id,content name,access users,access times,access duration (hour),average access duration (hour)
1.11002E+15,مورتال کامبت:انتقام اسکورپیون ,261,543,208.65,0.38
1.11002E+15,سه خرس کله پوک فصل 1 قسمت 22,21,25,7.21,0.29
1.11002E+15,ماجراهای داک فصل 1 قسمت 19,22,43,12.33,0.29
1.11002E+15,سرنگتی فصل 1 قسمت 2,24,34,21.56,0.63
1.11002E+15,خانه اسکناس فصل 1 قسمت 12,20,28,15.74,0.56
1.11002E+15,دکتر خوب فصل 3 قسمت 17,1,2,0.53,0.26
1.11002E+15,در شب زنده بمان,314,497,228.76,0.46
1.11002E+15,سرزمین بد,100,184,100.75,0.55
1.11002E+15, تبصره ۲۲  فصل 1 قسمت 2,1,2,0.69,0.34
1.11002E+15,غریبه فصل 1 قسمت 1,6,7,5.89,0.84
1.11002E+15,نقاب قهرمان فصل 1 قسمت 4,5,8,1.42,0.18
1.11002E+15,هایکیو فصل 2 قسمت 6,10,15,8.65,0.58
1.11002E+15,نارکو فصل 4 قسمت 10,1,1,0.09,0.09
1.11002E+15,زن خفاشی فصل 1 قسمت 11,1,1,0.18,0.18
1.11002E+15,شاهزاده اژدها فصل 3 قسمت 3,9,18,5.52,0.31
1.11002E+15,استامپتاون فصل 1 قسمت 13,2,4,1.32,0.33
1.11002E+15,100 فصل 7 قسمت 16,100,142,48.65,0.34
1.11002E+15,پنجمین خورشید قسمت 11,19,38,12.09,0.32
1.11002E+15,پاندای کونگ فو کار: افسانه های شگفت انگیز فصل 2 قسمت 2,16,25,7.52,0.3
1.11002E+15,خداحافظ بچه قسمت 12,5,5,1.56,0.31
1.11002E+15,فارگو فصل 3 قسمت 1,1,2,0.92,0.46
1.00022E+14,شاهزاده ربوده شده: روسلان و لودمیلا,50,128,43.84,0.34
1.11002E+15,متهم گریخت قسمت 4,58,100,38.62,0.39
1.11002E+15,پاندای کونگ فو کار: افسانه های شگفت انگیز فصل 3 قسمت 6,10,14,3.37,0.24
1.11002E+15,پاپلزها فصل 1 قسمت 13,16,28,9.27,0.33
1.11002E+15,پیکی بلایندرز فصل 3 قسمت 1,6,7,4.03,0.58
1.11002E+15,سلام نینجا فصل 1 قسمت 2,55,78,20.55,0.26
1.11002E+15,سرپیچی از جاذبه فصل 1 قسمت 10,4,5,2.06,0.41
1.11002E+15,عقیق قسمت 5,5,5,4.66,0.93
1.00003E+12,نگهبان قصه ها,23,49,16.56,0.34
1.11002E+15,سوپرگرل فصل 1 قسمت 11,14,22,8.38,0.38
1.11002E+15,سه خرس کله پوک فصل 1 قسمت 9,29,47,8.61,0.18
1.11002E+15,بریتانیا فصل 2 قسمت 1,2,7,2.52,0.36
1.11002E+15,بانوی سردار قسمت 8,13,18,7.81,0.43
1.00022E+14,کاپیتان امریکا :سرباز زمستان,95,255,96.78,0.38
1.11002E+15,در حاشیه فصل 1 قسمت 8,117,235,82.65,0.35
1.00004E+12,پس از باران قسمت 30,2,4,1.21,0.3
1.00006E+12,شماره 17 سهیلا,18,35,16.55,0.47
1.00022E+14,نجات ژنرال یانگ,16,23,13.21,0.57
1.00022E+14,خانه به دوش قسمت 2,173,318,129.22,0.41
1.00022E+14,خود زندگی,6,6,7.28,1.21
1.00022E+14,براون,19,27,20.1,0.74
1.00022E+14,رنگ تند,5,9,3.89,0.43
1.00022E+14,لیسانسه ها 2 قسمت 21,8,10,4.36,0.44
1.00022E+14,ساختمان پزشکان قسمت 3,40,55,25.53,0.46
1.11002E+15,پاپلزها فصل 1 قسمت 3,111,144,63.79,0.44
1.11002E+15,داستان اسباب بازی 4,87,139,64.95,0.47
1.11002E+15, فاسد,16,18,10.51,0.58
1E+12,استاد زد: میراث ایپ من,13,29,7.85,0.27
1.00001E+12,ورود به سرزمین های بد  قسمت 4,12,32,5.58,0.17
1.00001E+12,فرار از زندان فصل 1 قسمت 16,20,49,11.58,0.24
1.00022E+14,خون آبی فصل 2 قسمت 1,3,11,4.57,0.42
1.00001E+12,فرار از زندان فصل 4 قسمت 3,21,42,16.26,0.39
1.00001E+12,ساعت شلوغی 3,31,73,32.83,0.45
1.00001E+12,پدر جان اول شما,72,153,49.57,0.32
1.10022E+14,مرد عنکبوتی: جنگجویان تار عنکبوتی 07,42,65,19.28,0.3
1.11002E+15,جنگ در جریان,4,8,3.41,0.43
1.00002E+12,شبکه,13,27,13.08,0.48
1.00022E+14,پشت صحنه مرد هزار چهره,27,33,24.07,0.73
1.00003E+12,سامورایی جک قسمت 4,2,2,0.73,0.37
1.00003E+12,دانلد داک قسمت 4,3,5,0.41,0.08
