content id,content name,access users,access times,access duration (hour),average access duration (hour)
1.11E+15,سرزمین بد,112,199,105.97,0.53
1.11E+15, داستان زندگی فصل 1 قسمت 4,7,13,6.82,0.52
1.11E+15,شلدون جوان فصل 3 قسمت 18,12,21,6.96,0.33
1.11E+15,دورهمی فصل 4 قسمت 26,6,6,7.87,1.31
1.11E+15,غریبه فصل 1 قسمت 1,6,7,3.29,0.47
1.11E+15,موچین:قسمت 3,157,319,109.28,0.34
1.11E+15,بازگشت زورو قسمت 6,7,9,4.12,0.46
1.11E+15,مداحی حاج مهدی رسولی 1,11,11,6.56,0.6
1.11E+15, ترنسفورمرز: سایبرورس فصل 2 قسمت 12,9,14,1.66,0.12
1.11E+15, ترنسفورمرز: سایبرورس فصل 2 قسمت 14,6,11,0.92,0.08
1.11E+15,فارگو فصل 3 قسمت 1,1,1,0.03,0.03
1.11E+15, برو! برو! کوری کارسون فصل 1 قسمت 6,18,22,6.75,0.31
1.11E+15,سگ شکاری,162,338,132.35,0.39
1.11E+15,اژدها سواران فصل 8 قسمت 9,22,38,10.62,0.28
1.11E+15,دات فصل 1 قسمت 31,2,2,0.33,0.17
1.11E+15,دات فصل 2 قسمت 16,2,3,0.41,0.14
1.11E+15,بگذار برود,38,57,22.25,0.39
1.00E+14,یوسف پیامبر قسمت 5,30,57,13.99,0.25
1.11E+15,7500,104,244,92.3,0.38
1.11E+15,مسافران فصل 2 قسمت 3:جیکوب,1,1,0.19,0.19
1.11E+15,لاین واکر ۲: جاسوس نامرئی,42,86,28.88,0.34
1.11E+15,سلامت قسمت 1,14,22,6.8,0.31
1.11E+15,ملکه کی قسمت 49,14,40,13.94,0.35
1.11E+15,"من, بارات",46,116,38.22,0.33
1.11E+15,سیاه یا سفید,1,2,1.44,0.72
1.11E+15,پادری قسمت 5,10,13,8.11,0.62
1.11E+15,محافظ فصل 1 قسمت 10,17,19,9.61,0.51
1.11E+15,اعلام خبر و صحنه های شهادت در بغداد,50,57,11.48,0.2
1.11E+15,پنجمین خورشید قسمت 1,34,56,24.63,0.44
1.11E+15,پاندای کونگ فو کار: افسانه های شگفت انگیز فصل 1 قسمت 4,34,55,22,0.4
1.11E+15,او یک فرشته بود قسمت 19,24,41,12.93,0.32
1.11E+15,گمشده در فضا فصل 2 قسمت 3,2,4,0.85,0.21
1.11E+15,شکار فصل 1 قسمت 6,10,11,6.35,0.58
1.11E+15,سه خرس کله پوک فصل 1 قسمت 9,73,114,31.62,0.28
1.00E+12,انیمیشن های کوتاه 4,4,6,1.18,0.2
