content id,content name,access users,access times,access duration (hour),average access duration (hour)
1.11002E+15,فوق لیسانسه ها قسمت 23,21,41,13.4,0.33
1.00004E+12,روزی روزگاری قسمت 2,79,137,62.7,0.46
1.00022E+14,خون آبی فصل 2 قسمت 15,1,2,1.27,0.63
1.10022E+14,مرد عنکبوتی: جنگجویان تار عنکبوتی 07,107,191,67.12,0.35
1.00001E+12,فرار از زندان فصل 2 قسمت 6,26,40,19.61,0.49
1.00022E+14,آوای باران قسمت 14,4,14,1.57,0.11
1.00022E+14,دکتر خوب قسمت 11,11,29,9.25,0.32
1.00022E+14,افسانه خورشید و ماه قسمت 7,7,19,6.57,0.35
1.00001E+12,بن تن فصل 2 قسمت 1,103,129,63.61,0.49
1.00022E+14,معصومیت از دست رفته قسمت 3,1,1,0.74,0.74
1.00001E+12,شیرطلایی,23,49,21.75,0.44
1.00022E+14,هرج و مرج دوباره,39,117,37.88,0.32
1.00022E+14,گریز از مرگ,53,61,25.41,0.42
1.00022E+14,ستاره ساز قسمت 22,2,6,0.47,0.08
1.00003E+12,اتاق خالی,23,40,17.9,0.45
1.00022E+14,خط قرمز قسمت 23,7,9,3.87,0.43
1.00003E+12,برو بیرون,64,109,63.86,0.59
1.00003E+12,ماموریت غیرممکن 3,37,77,41.71,0.54
1.00022E+14,توپگیری که جاسوس بود,4,10,2.79,0.28
1.00022E+14,بچه رئیس فصل 2 قسمت 5,60,127,33.92,0.27
1.00022E+14,نابرده رنج قسمت28,8,15,2.59,0.17
1.00022E+14,غذای شما,43,80,32.44,0.41
1.11002E+15,سه روز تا کشتار (دوبله),8,10,4.47,0.45
1.11002E+15, مستند پیشگویان داستان های علمی تخیلی قسمت 3,2,4,1.36,0.34
1.11002E+15,فلش فصل 3 قسمت15,2,5,1.06,0.21
1.00022E+14,سوتز فصل 1 قسمت 5,4,7,2.29,0.33
1.00022E+14,زن بابا قسمت 11,11,13,6.86,0.53
1.11002E+15,میان دو سرخس,2,2,0.18,0.09
1.00022E+14,آقای ربات فصل 3 قسمت 2,2,2,1.28,0.64
1.00022E+14,حفره فصل 1 قسمت 3,7,18,2.94,0.16
1.00022E+14,خانه,10,17,4.58,0.27
1.00022E+14,لیسانسه ها 2 قسمت 4,23,38,13.9,0.37
1.11002E+15,شلدون جوان فصل 3 قسمت 1,13,23,8.09,0.35
1.00022E+14,ساختمان پزشکان قسمت 16,19,38,16.98,0.45
1.00022E+14,نارکو فصل 1 قسمت 7,1,3,0.65,0.22
1.00022E+14,ساختمان پزشکان قسمت 39,14,21,10.01,0.48
1.00022E+14,کماندار فصل 4 قسمت 8,9,20,4.62,0.23
