content id,content name,access users,access times,access duration (hour),average access duration (hour)
1.11002E+15, هفت جهان یک سیاره فصل 1 قسمت 5,27,54,14.44,0.27
1.00022E+14,بچه رئیس فصل 2 قسمت 5,267,450,154.75,0.34
1.11002E+15,رختشورخانه,378,479,227.11,0.47
1.11002E+15,پاچاماما,133,228,109.78,0.48
1.00022E+14,اغما قسمت 27,13,25,7.3,0.29
1.11002E+15,ستون های زمين فصل 1 قسمت 1,345,527,230.08,0.44
1.11002E+15,ثبت با سند برابر است,2611,5018,2833.05,0.56
1.11002E+15,نوروز قسمت 2,531,714,359.26,0.5
1.11002E+15,سلامت قسمت 1,311,455,214.69,0.47
1.11002E+15,جوخه برادران فصل 1 قسمت 10,24,30,15.11,0.5
1.11002E+15,آچمز قسمت 28,45,64,29.22,0.46
1.11002E+15,پرستاران و سربازان: خالی,127,182,93.89,0.52
1.11002E+15,حلقه,862,1675,712.74,0.43
1.11002E+15,یقه سفید فصل 2 قسمت 16,3,8,2.98,0.37
1.11002E+15,زن خفاشی فصل 1 قسمت 9,94,133,65.38,0.49
1.11002E+15,وایکینگ ها فصل 6 قسمت 6:مرگ و جدایی,501,826,354.8,0.43
1.11002E+15,بلادشات,190,295,90.94,0.31
1.11002E+15,سایه های آبی فصل 1 قسمت 7,3,3,4.24,1.41
1.00022E+14,در چشم باد قسمت 19,18,28,15.88,0.57
1.00004E+12,چاپلین قسمت 2,94,206,68.04,0.33
1.00022E+14,وایکینگ ها 5 قسمت 11,259,463,205.69,0.44
1.00022E+14,لحظه گرگ و میش قسمت 15,14,35,7.88,0.23
1.00004E+12,میلیاردرها 1 قسمت 3,2,2,0.87,0.44
1.00022E+14,شمعدونی قسمت 40,14,26,11,0.42
1.00022E+14,افسانه خورشید و ماه قسمت 15,31,48,20.63,0.43
1.00022E+14,کاپیتان امریکا :سرباز زمستان,667,1419,743.71,0.52
1.00022E+14,پس از بارن قسمت 33,27,44,14.43,0.33
1.00022E+14,خانه به دوش قسمت 18,160,279,118.44,0.42
1.00022E+14,بچه رئیس قسمت 12,887,1320,491.35,0.37
1.00022E+14,فراموشی,146,238,110.16,0.46
1.00022E+14,سوپرایز شو قسمت 5,36,45,28.45,0.63
1.00022E+14,فرینج فصل 3 قسمت 12,11,15,10.21,0.68
1.00022E+14,برادرجان قسمت 4,16,24,9.29,0.39
1.00022E+14,نابرده رنج قسمت 22,24,34,15.63,0.46
1.0004E+16,سامورایی جک قسمت 26,3,3,0.37,0.12
1.00022E+14,هری پاتر و محفل ققنوس,261,595,347.48,0.58
1.00022E+14,ته دنیا فصل 1 قسمت 9,4,5,3.67,0.73
1.00022E+14,شکارچی ذهن فصل 1 قسمت 6,4,4,3.78,0.94
1.00022E+14,ارمغان تاریکی قسمت 12,11,14,4.42,0.32
1.11002E+15,ماموران شیلد فصل 1 قسمت 14,3,7,3.51,0.5
1.00022E+14,حفره فصل 1 قسمت 6,22,33,15.67,0.47
1.00022E+14,علی البدل قسمت 9,19,25,11.47,0.46
1.11002E+15,مدینه قسمت 5,15,25,9.99,0.4
