content id,content name,access users,access times,access duration (hour),average access duration (hour)
1.11002E+15,مسافران فصل 2 قسمت 2:پرتکل,4,4,1.03,0.26
1.00022E+14,خط قرمز قسمت 9,7,12,3.99,0.33
1.11002E+15,بل کانتو,5,5,0.36,0.07
1.11002E+15,توقف‌ناپذیر,33,54,16.17,0.3
1.11002E+15,افسانه های فردا فصل 1 قسمت 13,2,3,2.86,0.95
1.11002E+15,فلش فصل 4 قسمت 5-6,20,43,12.68,0.29
1.11002E+15,نیروهای اهریمنی اش فصل 1 قسمت 7:مبارزه با مرگ,2,5,1.82,0.36
1.00022E+14,سوتز فصل 1 قسمت 8,1,1,0.09,0.09
1.11002E+15,100 فصل 3 قسمت 4,27,58,16.61,0.29
1.00022E+14,حفره فصل 1 قسمت 5,9,19,3.73,0.2
1.00022E+14,حفره فصل 1 قسمت 6,11,21,4.66,0.22
1.00022E+14,آماده مبارزه,7,14,4.96,0.35
1.11002E+15,کشتن فصل 1 قسمت 5,1,1,0.78,0.78
1.00022E+14,ماشیناسورها 3 قسمت 13,10,14,11.56,0.83
1.11002E+15, روز موش خرما,12,18,6.33,0.35
1.11002E+15,تنها در خانه 2: گمشده در نیویورک,55,82,33.83,0.41
1.11002E+15,گمشده در فضا فصل 2 قسمت 4,2,2,1.28,0.64
1.11002E+15,دکتر هاوس فصل 3 قسمت 4,5,11,2.01,0.18
1.00022E+14,شلدون جوان فصل دوم قسمت 21,3,6,0.93,0.16
1.11002E+15,فلش فصل 3 قسمت15,11,15,7.21,0.48
1.11002E+15,دانستنی های کرونا 1,9,10,4.63,0.46
1.11002E+15,ال چاپو فصل 1 قسمت 1,31,56,18.07,0.32
1.11002E+15,هریت,167,231,91.11,0.39
1.00022E+14,دعای روز بیست و چهارم,12,12,2.26,0.19
1.11002E+15,ستایش فصل 3 قسمت 10,154,265,83.53,0.32
1.00022E+14,هراس,30,59,24.3,0.41
1.11002E+15,مظنون فصل 1 قسمت 10,3,5,1.67,0.33
1.00022E+14,حیوانات آمریکایی,29,50,16.49,0.33
1.00022E+14,با استعداد فصل 1 قسمت 12,4,10,2.56,0.26
1.00022E+14,آخرین کشتی 2 قسمت 10,6,17,5.16,0.3
1.00022E+14,باران فصل 1 قسمت 4,3,6,2.98,0.5
1.00004E+12,چاپلین قسمت 2,28,41,14.66,0.36
1.00004E+12,پس از باران قسمت 5,15,24,7.74,0.32
1.00004E+12,رئیس,176,517,199.71,0.39
1.11002E+15,غذا خوردن بامزه بچه ها,143,152,30.44,0.2
1.11002E+15,در رکاب منجی,104,110,24.27,0.22
1.00022E+14,پس از بارن قسمت 33,5,8,1.22,0.15
1.00022E+14,خانه به دوش قسمت 18,67,129,42.07,0.33
1.00022E+14,لیسانسه ها 2 قسمت 4,10,14,7.47,0.53
1E+12,خنده های آتوسا,21,39,19.51,0.5
1.00001E+12,منچستر کنار دریا,2,2,2.08,1.04
1.00022E+14,بزنگاه قسمت 14,63,133,44.94,0.34
1.00022E+14,بزنگاه قسمت 25,54,70,28.12,0.4
1.00022E+14,کماندار قسمت 16,24,43,19.54,0.45
1.00001E+12,بن تن فصل 2 قسمت 1,194,297,102.13,0.34
1.00022E+14,کماندار 1 قسمت 11,24,45,16.69,0.37
1.11002E+15,ویلای من قسمت 25,24,60,13.45,0.22
1.00022E+14,آوای باران قسمت 35,8,8,4.83,0.6
1.11002E+15,پیکی بلایندرز فصل 3 قسمت 6,3,8,4.63,0.58
1.00022E+14,علی البدل قسمت 9,10,23,5.64,0.25
1.11002E+15,سرنگتی فصل 1 قسمت 2,32,47,21.28,0.45
1.11002E+15,سرنگتی فصل 1 قسمت 5,20,30,17.93,0.6
1.11002E+15,باب معمار قسمت 21,4,5,0.46,0.09
1.00003E+12,دانلد داک قسمت 10,8,10,0.71,0.07
1.11002E+15,مظنون فصل 5 قسمت 6,3,6,3.35,0.56
1.11002E+15,گریم فصل 2 قسمت 17,23,40,16.16,0.4
1.11002E+15,اسلاگترا قسمت 23,39,93,27.72,0.3
1.11002E+15,اسلاگترا قسمت 29,102,171,65.95,0.39
1.11002E+15,پنجمین خورشید قسمت 11,137,230,79.17,0.34
1.11002E+15,دکتر هاوس فصل 4 قسمت 1,2,3,0.78,0.26
1.11002E+15,پاندای کونگ فو کار: افسانه های شگفت انگیز فصل 3 قسمت 13,17,26,7.04,0.27
1.11002E+15,در حاشیه فصل 1 قسمت 9,30,52,23.88,0.46
1.11002E+15,پیکی بلایندرز فصل 3 قسمت 1,11,15,6.48,0.43
1.11002E+15,مشت آهنی فصل 1 قسمت 4,15,26,7.56,0.29
1.11002E+15,مظنون فصل 1 قسمت 4,13,17,8.13,0.48
1.11002E+15,ادبیات فارسی 3 پایه  12 متوسطه: ادبیات حماسی,33,38,30.03,0.79
1.00002E+12,عالیجناب قسمت 2,9,18,5.19,0.29
1.11002E+15,سرزمین بد,961,1849,956.87,0.52
1.00022E+14,نجات ژنرال یانگ,1355,2598,870.6,0.34
1.00003E+12,بتمن آغاز می کند,30,98,32.11,0.33
1.00003E+12,خلافکاران میامی,10,24,7.57,0.32
1.11002E+15,مظنون فصل 5 قسمت 3,4,16,2.52,0.16
1.11002E+15,مسافران فصل 2 قسمت 5:جنی,1,1,1.97,1.97
1.11002E+15,اسلاگترا قسمت 26,45,95,35.69,0.38
1.11002E+15,نارکو فصل 4 قسمت 10,8,11,5,0.45
1.11002E+15,لوتر فصل 2 قسمت 3,1,1,0.03,0.03
1.11002E+15,مورچه ها و شیرینی کریسمس,51,51,1.46,0.03
1.00022E+14,همسر,42,69,30.31,0.44
1.00022E+14,1985,1,1,1.94,1.94
1.00022E+14,ستاره ساز قسمت 25,2,5,0.75,0.15
1.00022E+14,ارمغان تاریکی قسمت22,7,8,3.41,0.43
1.00022E+14,آخرین دیدار در آیداهو,6,8,0.46,0.06
1.00003E+12,سامورایی جک  قسمت 51,2,2,0.81,0.4
1.00022E+14,کماندار 1 قسمت 13,1,2,0.7,0.35
1.00022E+14,همتا 1 قسمت 3,1,1,0.91,0.91
1.00022E+14,همتا 1 قسمت 4,1,1,2.32,2.32
1.00004E+12,پس از باران قسمت 4,18,37,9.1,0.25
1.00022E+14,ریکاوری قسمت 1,51,102,40.44,0.4
1.00022E+14,پروفسور و مرد دیوانه,53,73,40.79,0.56
1.00022E+14,بچه رئیس فصل 2 قسمت 5,53,98,30.12,0.31
1.00022E+14,مسافران فصل 1 قسمت 12,2,6,1.8,0.3
1.00022E+14,کماندار فصل 4 قسمت 6,47,92,31.56,0.34
1.10022E+14,مرد عنکبوتی: جنگجویان تار عنکبوتی 07,29,60,10.44,0.17
1.00022E+14,فرینج فصل 3 قسمت 8,8,13,6.2,0.48
1.00001E+12,مرد مورچه ای,26,39,19.54,0.5
1.00022E+14,یوسف پیامبر قسمت 8,61,97,39.69,0.41
1.00022E+14,یوسف پیامبر قسمت 21,76,138,48.3,0.35
1.11002E+15,نارکو فصل 4 قسمت 6,4,7,2.66,0.38
1.11002E+15,پرواز,8,9,0.38,0.04
1.11002E+15,پاندای کونگ فو کار: قسمت 22:ظهور ملکه,105,169,57.73,0.34
1.00004E+12,رزیدنت فصل 1 قسمت 3,1,3,0.68,0.23
1.00022E+14,خانه,6,7,0.45,0.06
1.00022E+14,خانه به دوش قسمت 27,110,163,73.09,0.45
1.11002E+15,دکتر هاوس فصل 1 قسمت 13,2,2,0.85,0.43
1.00022E+14,زیر درخت,5,8,2.66,0.33
1.00022E+14,شمعدونی قسمت 18,5,14,1.21,0.09
1.00022E+14,قهرمانان کوچک,13,23,6.56,0.29
1.00022E+14,آخرین کشتی 2 قسمت 6,2,6,1.36,0.23
1.11002E+15,جوخه برادران فصل 1 قسمت 6,7,13,4.27,0.33
1.00022E+14,بچه رئیس فصل 2 قسمت 4,60,105,31.97,0.3
1.00022E+14,نابرده رنج قسمت 1,13,21,9.2,0.44
1.11002E+15,مدینه قسمت 27,19,34,9.99,0.29
1.11002E+15,حل مشکلات بزرگ بدون نیاز به اینکه,1,1,2.49,2.49
1.11002E+15,ماموران شیلد فصل 1 قسمت 5,2,6,1.17,0.2
1.00022E+14,ماشیناسورها 3 قسمت 8,13,18,10.29,0.57
1.11002E+15,ماموران شیلد فصل 2 قسمت 16,1,3,0.65,0.22
1.11002E+15, مامان پری و هیزم شکن فصل 1 قسمت 16,9,12,4.79,0.4
1.11002E+15,رفیق درونم,47,102,27.97,0.27
1.00022E+14,گاتهام فصل 1 قسمت 2,18,39,12.94,0.33
1.00022E+14,چرنوبیل قسمت 2 : لطفا آرام,21,59,20.72,0.35
1.00022E+14,عصر جدید فصل 2 قسمت 3,4,5,1.08,0.22
1.11002E+15,گاتهام فصل 3 قسمت 11,6,8,3.23,0.4
1.11002E+15,پروژه کتاب آبی فصل 1 قسمت 8,4,8,2.15,0.27
1.11002E+15,زنده باد خودم,34,57,22.18,0.39
1.11002E+15,پایانی قسمت 2,5,7,6.7,0.96
1.00022E+14,آخرین کشتی فصل 3 قسمت 13,13,19,4.85,0.26
1.11002E+15,جنگ علیه وال استریت,81,170,52.37,0.31
1.00022E+14,شلدون جوان فصل 2 قسمت 10,7,13,5.47,0.42
1.11002E+15,کشتن فصل 3 قسمت 4,1,1,0.32,0.32
1.00022E+14,مگالودون,114,186,105.55,0.57
1.00022E+14,شاهزاده اژدها فصل1 قسمت 5,167,249,93.63,0.38
1.11002E+15,دورهمی فصل 4 قسمت 5,26,36,17.5,0.49
1.11002E+15,اسلحه سرد,45,90,30.59,0.34
1.00022E+14,نخستین انسان,176,341,109.57,0.32
1.00022E+14,قلمرو افسون شده,37,50,21.04,0.42
1.00022E+14,ماموران شیلد فصل 1 قسمت 1,9,15,4.26,0.28
1.00022E+14,کماندار فصل 3 قسمت 3,39,81,29.61,0.37
1.00022E+14,شش اژدهای پرنده فصل1 قسمت 4,4,9,3.56,0.4
1.00022E+14,شش اژدهای پرنده فصل1 قسمت 17,3,4,1.65,0.41
1.00022E+14,مرز سه گانه,30,37,23.57,0.64
1.00022E+14,کماندار فصل 3 قسمت 16,38,65,26.33,0.41
1.00022E+14,کماندار فصل 3 قسمت 19,36,75,28.11,0.37
1.11002E+15,100 فصل 4 قسمت 4,33,71,22.99,0.32
1.00022E+14,قلاده قرمز,3,7,1.84,0.26
1.00022E+14,غول کش ها قسمت 2,69,117,32.57,0.28
1.00022E+14,غول کش ها قسمت 5,39,70,16.14,0.23
1.11002E+15,بچه مهندس فصل 1 قسمت 20,9,14,2.95,0.21
1.00022E+14,پینوکیو فصل 1 قسمت 20,6,10,3.04,0.3
1.11002E+15,ریاضی پایه چهارم ابتدایی,11,15,8.39,0.56
1.00004E+12,پس از باران قسمت 1,36,54,19.49,0.36
1.11002E+15,بچه مهندس فصل 2 قسمت 3,68,113,42.72,0.38
1.11002E+15,مجموعه ماجراهای ناگوار فصل 1 قسمت 4,2,2,0.83,0.41
1.11002E+15,دورهمی قسمت 4,35,44,24.46,0.56
1.11002E+15,همیشه وفادار,20,39,12,0.31
1.11002E+15,ماه عسل قسمت 11,12,21,3.8,0.18
1.00006E+12,آجین: نیمه انسان,24,59,18.99,0.32
1.11002E+15,شکست ناپذیر ۳: رستگاری,455,1053,389.67,0.37
1.11002E+15,پرتاب کیک در صورت,182,221,40.83,0.18
1.11002E+15,بازگشت به دوران مدرسه,100,123,37.04,0.3
1.11002E+15,ساکت شو,201,309,88.54,0.29
1.11002E+15,پل فصل 1 قسمت 3,1,9,1.54,0.17
1.11002E+15,وایکینگ ها فصل 6 قسمت 10,305,474,163.14,0.34
1.11002E+15,میوه ممنوعه قسمت 5,87,136,49.26,0.36
1.00001E+12,ورود به سرزمین های بد  قسمت 2,17,24,11.51,0.48
1.00001E+12,بچه گرگ ها,68,153,57.43,0.38
1.11002E+15,رگ خواب,829,1938,712.82,0.37
1.00022E+14,طوفان جهانی,26,55,26.65,0.48
1.11002E+15,پادری قسمت 19,46,81,29.28,0.36
1.00001E+12,آبی تیره,7,15,11.64,0.78
1.00022E+14,شب دهم قسمت 6,9,11,3.61,0.33
1.00002E+12,وروجک ها,30,83,28.39,0.34
1.11002E+15,بامب شل,35,78,19.17,0.25
1.11002E+15,کماندار فصل 5 قسمت 23,49,95,29.03,0.31
1.00003E+12,دانلد داک قسمت 5,15,17,3.86,0.23
1.00003E+12,فلش فصل 1 قسمت 1,546,1028,320.44,0.31
1.00003E+12,پایتخت فصل 2 قسمت 14,41,115,32.01,0.28
1.00003E+12,یک اتفاق تازه (آرشا 9),1,1,0.06,0.06
1.11002E+15,پتا,100,298,85.69,0.29
1.00003E+12,سیاره زمین 1 قسمت 7,3,4,1.56,0.39
1.00004E+12,پایتخت فصل 5 قسمت 17,108,203,69.23,0.34
1.11002E+15,سام آتشنشان قسمت 4,172,391,138.05,0.35
1.11002E+15,پاندای کونگ فو کار: افسانه های شگفت انگیز فصل 1 قسمت 9,156,250,89.46,0.36
1.11002E+15,توپ بسکتبال و صورت,173,188,32.3,0.17
1.11002E+15,متهم گریخت قسمت 9,203,362,120.2,0.33
1.11002E+15,وست ورلد فصل 1 قسمت 8,32,58,19.65,0.34
1.00001E+12,ارابه مرگ,3,3,0.67,0.22
1.11002E+15,در حاشیه فصل 1 قسمت 26,9,24,8.79,0.37
1.11002E+15,انگری برد: پرتاب منجنیق,16,17,0.58,0.03
1.00003E+12,ده هزارسال قبل از میلاد,252,525,178.88,0.34
1.11002E+15,تور بزرگ فصل 1 قسمت 2,8,12,6.03,0.5
1.11002E+15,ماه عسل قسمت 27,1,1,0.02,0.02
1.00001E+12,کاپیتان زیرشلواری: اولین فیلم حماسی,578,1273,476.09,0.37
1.00003E+12,دانلد داک قسمت 23,4,5,0.48,0.1
1.00003E+12,پایتخت فصل 2 قسمت 5,52,117,42.93,0.37
1.00022E+14,زن بابا قسمت 6,15,24,13.63,0.57
1.11002E+15,زوج یا فرد قسمت 4,4,12,3.4,0.28
1.11002E+15,زعفرانی قسمت 8,1,3,0.63,0.21
1.11002E+15,گاتهام فصل 3 قسمت 10,5,10,3.66,0.37
1.00022E+14,برادر جان قسمت 20,47,103,34.33,0.33
1.00022E+14,اغما قسمت 7,33,49,20.1,0.41
1.00022E+14,آسمان من قسمت 3,1,2,0.18,0.09
1.00022E+14,زیرگنبد فصل 3 قسمت 1&2,3,17,12.02,0.71
1.00022E+14,ماه و پلنگ قسمت 9,1,1,0.08,0.08
1.00022E+14,آوای باران قسمت 39,6,10,3.71,0.37
1.00022E+14,وقت: مسابقه با زمان,21,42,18.3,0.44
1.00003E+12,سامورایی جک قسمت 5,4,8,1.16,0.15
1.00022E+14,کریستوفر رابین,32,47,37.81,0.8
1.00022E+14,کماندار 1 قسمت 6,2,2,0.68,0.34
1.00004E+12,مجله آشپزی فلفل(موساچولی),1,1,2.19,2.19
1.00006E+12,کوتوله تنها,269,502,235.43,0.47
1.10022E+14,بیگانه 3,59,108,35.64,0.33
1.00022E+14,امام علی قسمت 23-24,42,59,26.9,0.46
1.00022E+14,پس از بارن قسمت 35,7,9,1.2,0.13
1.00022E+14,عشقولانس,141,285,130.74,0.46
1.00022E+14,یوسف پیامبر قسمت 23,75,123,34.57,0.28
1.11002E+15,دودکش قسمت 14,14,21,8.01,0.38
1.00022E+14,نابرده رنج قسمت 21,6,9,1.67,0.19
1.11002E+15,ماموران شیلد فصل 1 قسمت 7,2,5,1.34,0.27
1.11002E+15,افسانه های فردا فصل 2 قسمت 2,3,8,0.76,0.09
1.00022E+14,وارثین,1,1,0.02,0.02
1.00022E+14,مرگ برای زنده ماندن,2,3,2.43,0.81
1.00022E+14,برادر جان قسمت 21,49,115,28.41,0.25
1.00022E+14,گیسو کمند قسمت 19,13,25,3.61,0.14
1.11002E+15, ارتفاع ,20,36,12.54,0.35
1.11002E+15,مظنون فصل 2 قسمت 2,8,14,4.72,0.34
1.00022E+14,گرینگو,21,34,27.85,0.82
1.00022E+14,هوش سیاه 2 قسمت 23,11,17,5.52,0.32
1.11002E+15,مظنون فصل 2 قسمت 7,5,7,2.37,0.34
1.00022E+14,سقوط شوالیه قسمت 7,1,1,0.74,0.74
1.00022E+14,شمعدونی قسمت 49,4,6,1.28,0.21
1.00022E+14,صدا خفه کن,25,45,19.6,0.44
1.10022E+14,دوستان فضایی,26,36,15.36,0.43
1.10022E+14,شش اژده های پرنده قسمت 41,3,4,3.95,0.99
1.00022E+14,بی خدا قسمت 3,3,3,1.14,0.38
1.00022E+14,نابرده رنج قسمت 2,9,15,6.11,0.41
1.11002E+15,زوج یا فرد قسمت 16,3,3,2.78,0.93
1.00022E+14,ماشیناسورها 3 قسمت 2,21,37,14.93,0.4
1.00022E+14,کارگاه محله چینی ها 2,252,562,251.7,0.45
1.11002E+15,100 فصل 3 قسمت 8,32,64,18.86,0.29
1.11002E+15, مامان پری و هیزم شکن فصل 1 قسمت 12,2,3,2.25,0.75
1.11002E+15,خداحافظ تابستان,13,15,1.4,0.09
1.11002E+15,جو پیل هو: خشم سپیده دم,48,67,28.27,0.42
1.11002E+15,کشتن فصل 1 قسمت 6,1,1,0.78,0.78
1.00022E+14,زن بابا قسمت 12,9,11,4.81,0.44
1.11002E+15,دکتر هاوس فصل 2 قسمت 17,3,12,1.18,0.1
1.00022E+14,ساختمان پزشکان قسمت 38,18,37,13.14,0.36
1.11002E+15,وقتی آنها ما را می‌بینند فصل 1 قسمت 1,1,2,0.1,0.05
1.11002E+15,پادشاه,10,14,3.17,0.23
1.11002E+15,تور بزرگ فصل 1 قسمت 5,3,5,3.52,0.7
1.00022E+14,لحظه گرگ و میش قسمت 2,7,15,4.01,0.27
1.00022E+14,لحظه گرگ و میش قسمت 43,9,12,1.95,0.16
1.00022E+14,سریال 100 فصل 2 قسمت 3,36,79,22.96,0.29
1.00022E+14,دعای روز بیست و هفتم,5,5,4.03,0.81
1.00022E+14,شاهزاده اژدها فصل2 قسمت 4,86,134,37.19,0.28
1.11002E+15,مسابقاتUFC: جان جونز در مقابل تیاگو سانتو,38,84,18.01,0.21
1.11002E+15,آسوران,17,33,8.87,0.27
1.11002E+15,آچمز قسمت 7,1,1,0.7,0.7
1.00022E+14,معصومیت از دست رفته قسمت 5,2,2,1.22,0.61
1.00022E+14,اتاق گمشده قسمت 1,4,5,2.55,0.51
1.00022E+14,برفراز سایه ها,19,23,7.14,0.31
1.11002E+15,مظنون فصل 2 قسمت 22,5,12,3.51,0.29
1.11002E+15,دیدن فصل 1 قسمت 7:جاده لوندر,113,227,89.16,0.39
1.11002E+15,قهرمان های کوچولو,45,68,30.22,0.44
1.00022E+14,ماه و پلنگ قسمت 32,4,5,0.22,0.04
1.00022E+14,ماشیناسورها 2 قسمت 8,11,13,5.13,0.39
1.00022E+14,فرینج 2 قسمت 17,6,16,4.24,0.27
1.00022E+14,داستان علم فصل 1 قسمت 6,1,2,0.22,0.11
1.10022E+14,شش اژده های پرنده قسمت 48,4,9,2.64,0.29
1.00004E+12,استند تاپ قسمت 26,12,18,8.29,0.46
1.11002E+15,بچه مهندس فصل 2 قسمت 19,21,32,12.75,0.4
1.11002E+15,شماره شانس اسلوین,95,153,56.29,0.37
1.00005E+12,فلش فصل 1 قسمت 10,97,215,77.48,0.36
1.11002E+15,ماه عسل قسمت 1,99,118,35.1,0.3
1.11002E+15,مرد نامرئی,375,720,272.15,0.38
1.11002E+15,پاندای کونگ فو کار: فصل 1 قسمت 15: نفرین پادشاه میمون,122,204,51.53,0.25
1.00001E+12,دردویل قسمت 3,2,3,1.86,0.62
1.00022E+14,بزنگاه قسمت 8,95,146,60.94,0.42
1.11002E+15,ستون های زمين فصل 1 قسمت 8,2,6,0.72,0.12
1.11002E+15,اروند,37,69,20.41,0.3
1.00001E+12,فرار از زندان فصل 2 قسمت 5,39,72,26.59,0.37
1.00001E+12,فرار از زندان فصل 3 قسمت 12,41,80,34.06,0.43
1.00022E+14,دنیای ژوراسیک:سقوط پادشاهی,76,153,70.33,0.46
1.11002E+15,ریاضی پنجم ابتدایی,7,7,0.3,0.04
1.11002E+15,آچمز قسمت 9,1,1,0.61,0.61
1.00001E+12,تاریخ مجهول امریکا,39,84,37.8,0.45
1.00002E+12,ماجراهای جکی چان,58,101,39.87,0.39
1.11002E+15,پیکی بلایندرز فصل 2 قسمت 5,3,6,1.54,0.26
1.00022E+14,یوسف پیامبر قسمت 27,83,168,43.75,0.26
1.00002E+12,سیندرلا و افسانه شاه پریان -هانسل و گرتل,18,30,14.07,0.47
1.00003E+12,پونی کوچولو 6:مرغ عالیجناب 4,22,39,9.06,0.23
1.00022E+14,نیمار و فوتبال خیابانی,91,106,24.19,0.23
1.11002E+15,بازماندگان فصل 1 قسمت 1,53,77,35.37,0.46
1.00003E+12,پایتخت فصل 3 قسمت 7,76,166,53.49,0.32
1.11002E+15,اسلاگترا قسمت 9,55,120,34.26,0.29
1.11002E+15,مجسمه‌های متحرک,157,162,12.29,0.08
1.11002E+15,گمشده در فضا فصل 2 قسمت 5,3,10,4.19,0.42
1.11002E+15,تاریکی را نگه دارید,52,90,31.59,0.35
1.11002E+15,شگفتی های منظومه شمسی فصل 1 قسمت 3,3,5,1.78,0.36
1.00001E+12,چگونه ماشین ها رویایی شدند - پورشه,13,14,8.1,0.58
1.11002E+15,3 احمق,38,81,20.85,0.26
1.11002E+15,ماموران شیلد فصل 3 قسمت 16,3,5,1.99,0.4
1.00022E+14,آزاد به قید شرط,10,32,10.27,0.32
1.11002E+15,بچه مهندس فصل 1 قسمت 18,9,18,3.26,0.18
1.11002E+15,دورهمی قسمت 9,38,50,24.93,0.5
1.11002E+15,تحت تعقیب فصل 2 قسمت 4:تغییر مکان حافظه,1,1,0.59,0.59
1.00022E+14,شاهزاده اژدها فصل1 قسمت 1,889,1234,516.24,0.42
1.11002E+15,جوخه برادران فصل 1 قسمت 9,3,4,1.26,0.32
1.11002E+15,زعفرانی قسمت 7,1,4,0.7,0.17
1.11002E+15,ذهن پریشانتان را رام کنید,2,2,0.7,0.35
1.00001E+12,فارگو فصل 1 قسمت 1,2,6,1.78,0.3
1.00022E+14,برادر جان قسمت 27,110,223,72.99,0.33
1.00002E+12,سیکاریو,3,5,2.33,0.47
1.00022E+14,ببر زنده است,1310,3130,1317.37,0.42
1.00022E+14,قصه های مجید 8 - ورزش,11,21,7.14,0.34
1.00022E+14,شاهزاده اژدها فصل2 قسمت 3,90,142,33.03,0.23
1.00022E+14,کیف انگلیسی قسمت 5,2,2,0.85,0.43
1.00022E+14,سلام لندن,95,133,30.25,0.23
1.00022E+14,شمعدونی قسمت 25,2,8,1.67,0.21
1.00022E+14,شمعدونی قسمت 27,4,9,5.24,0.58
1.00022E+14,وایکینگ ها 5 قسمت 19,87,190,59.83,0.31
1.10022E+14,ورود به سرزمینهای بد فصل 3 قسمت 12,8,23,3.29,0.14
1.10022E+14,ستاره ساز قسمت 49,4,9,2.76,0.31
1.00022E+14,مریخ قسمت 1,12,18,7.31,0.41
1.00022E+14,کماندار فصل 4 قسمت 10,39,82,25.33,0.31
1.00022E+14,ماشین جنگی,46,57,43.47,0.76
1.00022E+14,لیسانسه ها 2 قسمت 28,1,1,0.65,0.65
1.00022E+14,شکار,25,38,24.67,0.65
1.11002E+15,کماندار فصل 5 قسمت 2و 3,49,97,37.08,0.38
1.00004E+12,رزیدنت فصل 1 قسمت 4,1,2,0.69,0.35
1.11002E+15,ماموران شیلد فصل 1 قسمت 19,3,6,1.86,0.31
1.00022E+14,تاریک قسمت 6,3,12,1.88,0.16
1.00022E+14,شلدون جوان فصل 1 قسمت 15,3,3,0.68,0.23
1.11002E+15,دکتر هاوس فصل 1 قسمت 19,3,17,1.31,0.08
1.11002E+15,ماموران شیلد فصل 2 قسمت 17,1,2,0.68,0.34
1.00022E+14,یوسف پیامبر قسمت 1,171,293,121.34,0.41
1.00022E+14,جلاد آمریکایی,17,31,13.5,0.44
1.00022E+14,پلیس جوان قسمت 1,1,4,0.67,0.17
1.00022E+14,آوای باران قسمت 11,7,9,5.33,0.59
