content id,content name,access users,access times,access duration (hour),average access duration (hour)
1.11002E+15,گریم فصل 4 قسمت 15,12,29,7.21,0.25
1.11002E+15,تات قسمت 1,1,2,0.24,0.12
1.00022E+14,غذای شما,12,36,8.02,0.22
1.00022E+14,ستاره ساز قسمت 29,2,3,2.21,0.74
1.11002E+15,فوق لیسانسه ها قسمت 27,2,3,0.6,0.2
1.11002E+15,اژدها سواران فصل 1 قسمت9,16,24,6.97,0.29
1.11002E+15,وایکینگ ها فصل 6 قسمت 6:مرگ و جدایی,11,22,10.3,0.47
1.11002E+15,سه خرس کله پوک فصل 1 قسمت 12,36,55,10.71,0.19
1.11002E+15,دردویل فصل 2 قسمت 7,7,19,3.82,0.2
1.11002E+15,ساحره: قسمت 1- انهدام,62,160,63.46,0.4
1.11002E+15,شهر اصلاح شده,7,18,9.63,0.53
1.11002E+15,باب معمار قسمت 2,10,11,3.38,0.31
1.11002E+15,سوتز فصل 2 قسمت 1,5,9,3.81,0.42
1.11002E+15,دورهمی قسمت 11,3,12,1.23,0.1
1.11002E+15,نارکو فصل 3 قسمت 1,5,14,3.59,0.26
1.11002E+15,امینس هیل,25,39,28.67,0.74
1.11002E+15,چنای شمالی,6,6,1.99,0.33
1.11002E+15,مائو مائو: قهرمانان قلب پاک فصل 1 قسمت 7,18,27,7.65,0.28
1.11002E+15,مائو مائو: قهرمانان قلب پاک فصل 1 قسمت26,2,2,0.32,0.16
1.00022E+14,پیشتازان فضا فصل 1 قسمت 11,2,2,1.09,0.55
1.00003E+12,پونی کوچولو 5:کوچولو و سگ 3,2,3,0.64,0.21
1.00022E+14,هری پاتر و سنگ جادو,13,52,17.09,0.33
1.00022E+14,وایکینگ ها 5 قسمت 12,9,15,5.09,0.34
1.00022E+14,فراموشی,1,1,0.1,0.1
1.00022E+14,محیا,8,17,6.72,0.4
1.00022E+14,فرینج فصل 3 قسمت 11,7,13,4.49,0.35
1.00022E+14,ساختمان پزشکان قسمت 14,18,35,15.83,0.45
1.00022E+14,ساختمان پزشکان قسمت 16,14,30,13.36,0.45
1.00022E+14,ساختمان پزشکان قسمت 42,9,15,6.35,0.42
1.00022E+14,لحظه گرگ و میش قسمت 10,1,1,0.06,0.06
1.00022E+14,خط قرمز قسمت 9,4,6,1.22,0.2
1.11002E+15,جهنم روی مرز,17,24,12.82,0.53
1.11002E+15,افسانه های فردا فصل 2 قسمت 1,1,1,0.02,0.02
1.11002E+15,سوپر  30,9,17,5.77,0.34
1.11002E+15,خداحافظ بچه قسمت 20,1,3,0.34,0.11
1.11002E+15,متهم گریخت قسمت 13,17,42,13.94,0.33
1.00022E+14,فوتبالیست ها جام جهانی قسمت1,20,34,7.77,0.23
1.11002E+15,توقف‌ناپذیر,10,21,4.95,0.24
1.11002E+15,پادری قسمت 5,7,10,4.4,0.44
1.00022E+14,شلدون جوان فصل دوم قسمت 21,3,5,0.91,0.18
1.11002E+15,پنجمین خورشید قسمت 12,7,13,3.28,0.25
1.00022E+14,دنیای شادی,49,131,42.46,0.32
1.11002E+15,شمشیر اژدها,21,58,12.61,0.22
1.10022E+14,یقه سفید فصل 1 قسمت 7,1,2,0.64,0.32
1.11002E+15,ماندالوریان فصل 1 قسمت 2,14,19,5.51,0.29
1.11002E+15,نوروز قسمت 1,13,21,4.22,0.2
1.11002E+15,سیاره متخاصم فصل 1 قسمت 4,5,9,2.74,0.3
1.00003E+12,پایتخت فصل 2 قسمت 7,70,160,58.01,0.36
1.00022E+14,زندگی در دست تعمیر,3,4,3.36,0.84
1.00022E+14,سکسکه,25,74,27.75,0.37
1.00001E+12,فرار از زندان فصل 2 قسمت 4,12,47,8.58,0.18
1.00022E+14,کماندار 1 قسمت 17,29,62,17.95,0.29
1.00001E+12,فرار از زندان فصل 4 قسمت 6,19,33,14,0.42
1.00001E+12,بن تن فصل 2 قسمت 1,29,56,14,0.25
1.00022E+14,اغما قسمت 27,4,5,2.83,0.57
1.00022E+14,بزنگاه قسمت 25,8,10,5.82,0.58
1.00001E+12,ساعت شلوغی 3,7,11,5.34,0.49
1.00001E+12,پدر جان اول شما,215,475,180.66,0.38
1.11002E+15,اعلام خبر و صحنه های شهادت در بغداد,2,2,0.29,0.14
1.11002E+15,باهوبالی 2: نتیجه گیری,210,621,244.49,0.39
1.11002E+15,شکارچیان فصل 1 قسمت 9,2,3,1.11,0.37
1.11002E+15,توت فرنگی کوچولو قسمت 1,68,154,44,0.29
1.11002E+15,فارگو فصل 3 قسمت 10,1,1,0.03,0.03
1.11002E+15,گریم فصل 5 قسمت 13,21,47,13.65,0.29
1.00022E+14,افسانه خورشید و ماه قسمت 7,4,4,2.65,0.66
1.11002E+15,تعزیه 10,1,1,0.8,0.8
1.00022E+14,ناپدید شدن,2,2,0.18,0.09
1.11002E+15,مخفی فصل 1 قسمت 5,9,35,5.85,0.17
1.11002E+15,سوپرگرل فصل 1 قسمت 11,27,52,14.32,0.28
1.11002E+15,کارآگاه گجت قسمت 6,12,21,3.82,0.18
1.11002E+15, ولترون: افسانه مدافعان فصل 2 قسمت 13,2,2,0.42,0.21
1.11002E+15,موچین:قسمت 9,245,523,191.15,0.37
