content id,content name,access users,access times,access duration (hour),average access duration (hour)
1.00001E+12,فرار از زندان فصل 1 قسمت 6,58,116,36.91,0.32
1.00001E+12,فرار از زندان فصل 2 قسمت 6,52,122,31.23,0.26
1.00001E+12,فرار از زندان فصل 3 قسمت 3,44,88,29.22,0.33
1.00001E+12,فرار از زندان فصل 4 قسمت 6,40,91,28.42,0.31
1.00022E+14,هراس,24,54,11.31,0.21
1.00022E+14,نفرتی که تو می کاری,2,3,1.03,0.34
1.00001E+12,خانه ایی در مزرعه,9,21,8.8,0.42
1.00022E+14,شلدون جوان فصل 1 قسمت 1,140,210,45.49,0.22
1.00022E+14,هرج و مرج دوباره,9,24,5.7,0.24
1.00022E+14,ددپول 2 ویژه ناشنوایان,4,11,1.17,0.11
1.00022E+14,خط قرمز قسمت 9,9,18,4.61,0.26
1.00022E+14,حیوانات آمریکایی,8,13,7.26,0.56
1.00003E+12,ماموریت غیرممکن 3,11,46,12.17,0.26
1.00004E+12,روزی روزگاری قسمت 2,23,51,16.76,0.33
1.00022E+14,گیسو کمند قسمت 17,2,2,1.47,0.73
1.00004E+12,چاپلین قسمت 2,21,33,9.03,0.27
1.00022E+14,سریال گاندو قسمت 22,28,61,14.09,0.23
1.00022E+14,خانه به دوش قسمت 17,18,42,8.64,0.21
1.00022E+14,وایکینگ ها 5 قسمت 16,40,92,22.25,0.24
1.00022E+14,فرینج فصل 4 قسمت 13,1,1,0.7,0.7
1.00022E+14,تعطیلات رویایی قسمت6,3,9,1.87,0.21
1.00022E+14,برادر خونی,22,37,15.35,0.41
1.00022E+14,وایکینگ ها 2 قسمت 2,40,85,22.11,0.26
1.00022E+14,دوران بد ال رویال,4,7,5.53,0.79
1.00022E+14,ساختمان پزشکان قسمت 10,16,26,11.07,0.43
1.11002E+15, ترنسفورمرز: سایبرورس فصل 1 قسمت 5,100,129,25.91,0.2
1.00022E+14,علی البدل قسمت 2,14,30,7.31,0.24
1.11002E+15,هپی! فصل 1 قسمت 1,13,15,5.34,0.36
1.11002E+15,مرز وظیفه,150,337,89.98,0.27
1.11002E+15,ثبت با سند برابر است,319,764,250.81,0.33
1.11002E+15,سلامت قسمت 1,22,40,11.95,0.3
1.11002E+15,مشت آهنی فصل 1 قسمت 4,6,6,2.14,0.36
1.11002E+15,سرزمین بد,57,122,48.92,0.4
1.11002E+15,جهنم روی مرز,133,261,102.28,0.39
1.11002E+15,پاندای کونگ فو کار: افسانه های شگفت انگیز فصل 3 قسمت 9,10,13,2.82,0.22
1.11002E+15,او یک فرشته بود قسمت 19,43,76,18.91,0.25
1.11002E+15,اژدها سواران فصل 1 قسمت11,54,73,17.29,0.24
1.11002E+15,رعد و برق می روند فصل 1 قسمت 15,6,10,3.02,0.3
1.00022E+14,خون آبی فصل 2 قسمت 1,1,1,0.56,0.56
1.00022E+14,شانتاژ,84,183,51.24,0.28
1.00022E+14,محیا,20,55,15.98,0.29
1.00001E+12,فرار از زندان فصل 3 قسمت 5,43,91,30.48,0.33
1.00003E+12,دانلد داک قسمت 4,5,9,0.86,0.1
1.00003E+12,پایتخت فصل 2 قسمت 7,32,62,22.92,0.37
1.11002E+15,وقتی آنها ما را می‌بینند فصل 1 قسمت 4,2,3,1.67,0.56
1.11002E+15,باب معمار قسمت 4,11,14,3.11,0.22
1.11002E+15, ایستادگی در اسپارو کریک,5,14,1.65,0.12
1.11002E+15,تور بزرگ فصل 1 قسمت 7,1,2,2.52,1.26
1.11002E+15,جرائم دهلی فصل 1 قسمت 6,1,1,0.58,0.58
1.11002E+15,شتاب,20,28,12.74,0.45
1.11002E+15,دورهمی فصل 4 قسمت 26,5,6,1.46,0.24
1.11002E+15,اسلاگترا قسمت 29,25,40,11.09,0.28
1.11002E+15,زوج یا فرد قسمت 14,8,26,6.47,0.25
1.11002E+15,مظنون فصل 3 قسمت22,1,6,0.86,0.14
1.11002E+15,پایتخت فصل 4 قسمت 3,75,115,41.17,0.36
1.11002E+15,غذا خوردن بامزه بچه ها,9,9,0.39,0.04
1.11002E+15,تنها در خانه 2: گمشده در نیویورک,25,55,13.66,0.25
1.11002E+15,جاودانگی,2,6,1.39,0.23
1.11002E+15,چند میگیری گریه کنی,62,111,31.18,0.28
1.11002E+15,سه خرس کله پوک فصل 1 قسمت 22,65,87,16.19,0.19
