content id,content name,access users,access times,access duration (hour),average access duration (hour)
1.00022E+14,کماندار فصل 3 قسمت 7,204,358,153.72,0.43
1.00022E+14,بزنگاه قسمت 13,68,106,47.17,0.44
1.00022E+14,پس از زمین,126,211,104.59,0.5
1.00022E+14,رد پای شغال,144,226,89.46,0.4
1.00022E+14,پژمان قسمت 19,23,42,27.98,0.67
1.00022E+14,حفره فصل 1 قسمت 6,23,28,11.68,0.42
1.00022E+14,مخفیلم-نقطه جوش,3,3,0.87,0.29
1.00022E+14,گیسو کمند قسمت 5,43,48,15.22,0.32
1.00022E+14,ساختمان پزشکان قسمت 3,121,165,84.24,0.51
1.00022E+14,زمین سرگردان,31,65,25.44,0.39
1.00022E+14,تعطیلات رویایی قسمت10,35,53,20.09,0.38
1.00022E+14,همتا 1 قسمت 3,4,8,3.41,0.43
1.00022E+14,هوش سیاه 2 قسمت 4,35,50,19.66,0.39
1.00022E+14,فوتبالیست ها جام جهانی قسمت6,65,118,39.01,0.33
1.00022E+14,مجازاتگر قسمت 10,21,28,12.44,0.44
1.11002E+15,در حاشیه فصل 1 قسمت 5,78,108,42.62,0.39
1.11002E+15,100 فصل 3 قسمت 4,57,81,42.2,0.52
1.00022E+14,پیشتازان فضا فصل 1 قسمت 14,18,44,19.48,0.44
1.00022E+14,زنجیره قسمت 1,46,65,30.99,0.48
1.00022E+14,بیدارشو آرزو,13,20,9.37,0.47
1.10022E+14,ورود به سرزمینهای بد فصل 3 قسمت 11,42,61,27.81,0.46
1.10022E+14,مرد عنکبوتی: جنگجویان تار عنکبوتی 07,66,99,38.57,0.39
1.11002E+15,11.22.63.فصل 1 قسمت 1,26,36,12.84,0.36
1.11002E+15,مظنون فصل 4 قسمت7,2,2,0.71,0.35
1.11002E+15,مظنون فصل 4 قسمت14,1,2,0.85,0.43
1.11002E+15,فیزیک 3 پایه 12 متوسطه  ریاضی فیزیک: برهم کنش های موج,1,1,0.14,0.14
1.11002E+15,یک روز زیبا در محله,121,155,106.9,0.69
1.11002E+15,ادبیات فارسی 3 پایه  12 متوسطه: ادبیات حماسی,46,52,26.38,0.51
1.11002E+15,باب معمار قسمت 21,62,88,32.49,0.37
1.11002E+15,بلادشات,31513,64178,33935.34,0.53
1.11002E+15,نارکو فصل 2 قسمت 9,3,3,5.06,1.69
1.11002E+15,سیاره متخاصم فصل 1 قسمت 4,14,20,11.97,0.6
1.11002E+15,مورچه ها و شیرینی کریسمس,260,264,58.75,0.22
1.00022E+14,لامبورگینی,681,1016,427.26,0.42
1.00002E+12,باب اسفنجی :بادیگارد,79,216,70.97,0.33
1.00002E+12,شبکه,160,307,173.76,0.57
1.11002E+15,تبادل رنگ,25,29,15.22,0.52
1.11002E+15,میدسامر,32,42,15.96,0.38
1.11002E+15,در حاشیه فصل 1 قسمت 10,53,77,25.84,0.34
1.11002E+15,مسافران فصل 2 قسمت 8:مسافر0027,12,20,6.43,0.32
1.00022E+14,ریکاوری قسمت 1,346,617,243.5,0.39
1.11002E+15,وقتی آنها ما را می‌بینند فصل 1 قسمت 4,1,1,1.1,1.1
1.11002E+15,سوپر  30,122,176,86.18,0.49
1.11002E+15,جنگ,2375,4689,2052.67,0.44
1.00022E+14,کاپیتان امریکا :سرباز زمستان,330,634,305.21,0.48
1.00022E+14,شش اژدهای پرنده فصل1 قسمت 6,14,28,13.06,0.47
1.11002E+15,پرستاران و سربازان: خالی,97,139,65.39,0.47
1.00022E+14,شش اژدهای پرنده فصل1 قسمت 12,14,33,16.08,0.49
1.10022E+14,آیینه جادوگر فصل 1 قسمت 17,22,57,22.88,0.4
1.00022E+14,کماندار فصل 4 قسمت 6,159,263,100.58,0.38
1.11002E+15,فلش فصل 3 قسمت10,43,59,22.84,0.39
1.11002E+15,زندانیان,162,249,130.12,0.52
1.11002E+15,محافظ فصل 1 قسمت 2,164,248,99.07,0.4
1.11002E+15,محافظ فصل 1 قسمت 4,125,207,66.17,0.32
1.11002E+15,اسلاگترا قسمت 23,23,50,11.99,0.24
1.11002E+15,ابرها,53,63,10.55,0.17
1.11002E+15,بازی سگ و گربه با اسباب‌بازی,66,86,19.49,0.23
1.00003E+12,انیمیشن های کوتاه 4,29,38,18.25,0.48
1.11002E+15,باب معمار قسمت 12,88,121,53.24,0.44
1.00001E+12,هیولایی صدا میزند,25,31,13.08,0.42
1.00001E+12,با نی نی 1,46,76,22.23,0.29
1.00022E+14,ساختمان پزشکان قسمت 11,60,110,42.19,0.38
1.00002E+12,قصه سگ و گربه,22,25,11.86,0.47
1.00022E+14,اسلحه مرگبار فصل 1 قسمت 6,1,1,0.07,0.07
1.00022E+14,مردان سیاهپوش: بین المللی,12,14,5.99,0.43
1.11002E+15,دکتر هاوس فصل 1 قسمت 13,6,11,4.13,0.38
1.11002E+15,مداحی شهدا شرمنده ایم,18,26,3.23,0.12
1.00022E+14,شش اژدهای پرنده فصل1 قسمت 19,9,14,7.07,0.51
1.00022E+14,کماندار فصل 4 قسمت 8,150,280,113.9,0.41
1.11002E+15,مظنون فصل 1 قسمت 18,6,14,3.3,0.24
1.11002E+15,میان دو سرخس,2,3,1.81,0.6
1.11002E+15,دکتر هاوس فصل 2 قسمت 22,2,2,0.7,0.35
1.00022E+14,آخرین کشتی 2 قسمت 6,17,36,14.55,0.4
1.00022E+14,دلخوشی,5,6,2.35,0.39
1.00022E+14,ته دنیا فصل 1 قسمت 2,7,7,2.22,0.32
1.00022E+14,شکارچی ذهن فصل 1 قسمت 4,4,8,4.18,0.52
1.00022E+14,فرینج فصل 4 قسمت 13,15,30,10.85,0.36
1.00022E+14,پلیس جوان قسمت 20,4,5,1.76,0.35
1.00022E+14,زیرگنبد فصل 3 قسمت 4,9,13,4.83,0.37
1.00022E+14,زیر تیغ قسمت 9,6,11,5.93,0.54
1.00022E+14,تنهایی لیلا قسمت 22,1,1,0.14,0.14
1.00022E+14,خون آبی فصل 2 قسمت 12,1,2,0.74,0.37
1.00022E+14,خون آبی فصل 2 قسمت 15,3,3,2.69,0.9
1.00022E+14,زیر درخت,3,3,0.53,0.18
1.00022E+14,معصومیت از دست رفته قسمت 3,7,12,2.5,0.21
1.00022E+14,مسافران فصل 1 قسمت 10,10,14,6.29,0.45
1.00003E+12,بتمن آغاز می کند,169,262,159.05,0.61
1.00003E+12,سامورایی جک قسمت 43,1,1,0.38,0.38
1.00022E+14,لیسانسه ها 2 قسمت 19,19,34,8.81,0.26
1.00022E+14,وایکینگ ها 2 قسمت 2,394,662,280.01,0.42
1.00022E+14,ببخشید شما قسمت 22,1,1,0.8,0.8
1.00002E+12,عالیجناب قسمت 2,15,22,15.8,0.72
1.00022E+14,حیوانات آمریکایی,53,80,35.95,0.45
1.00002E+12,شهر در امن و امان است,324,484,228.89,0.47
1.00001E+12,مرد مورچه ای,226,432,221.8,0.51
1.00003E+12,استند تاپ قسمت 6,120,156,70.42,0.45
1.00003E+12,تاینی تون قسمت 14,5,6,2.35,0.39
1.11002E+15,نیروهای اهریمنی اش فصل 1 قسمت 7:مبارزه با مرگ,2,2,0.91,0.45
1.11002E+15,الزامات محیط کار پایه 10 هنرستان فنی و کاردانش,1,1,0.09,0.09
1.11002E+15,کشتن فصل 2 قسمت 8,3,12,2.79,0.23
1.11002E+15,من کاکاسیاه تو نیستم,4,4,0.11,0.03
1.11002E+15,شب‌های کومبالانگی,66,81,23.05,0.28
1.11002E+15,تلاش برای چیزی جدید در 30 روز,2,2,0.14,0.07
1.00022E+14,شلدون جوان فصل دوم قسمت 21,5,5,1.52,0.3
1.00022E+14,کماندار 1 قسمت 11,5,5,1.75,0.35
1.00022E+14,فرینج فصل 3 قسمت 12,17,30,11.21,0.37
1.00003E+12,یک اتفاق تازه(نیوشا ضیغمی 1),3,3,0.1,0.03
1.00022E+14,شنود فصل 1 قسمت 12,1,1,0.75,0.75
1.00022E+14,خون آبی فصل 1 قسمت 2,2,2,3.81,1.91
1.00022E+14,کماندار فصل 2 قسمت 9,256,382,185.47,0.49
1.00022E+14,کماندار فصل 3 قسمت 3,208,345,152.14,0.44
1.00022E+14,یوسف پیامبر قسمت 23,456,748,272.14,0.36
1.00022E+14,فرینج فصل 3 قسمت 6,18,27,13.44,0.5
1.00022E+14,کسل راک قسمت 5,14,18,8.47,0.47
1.00022E+14,اغما قسمت 7,30,45,16.89,0.38
1.00022E+14,ستاره ساز قسمت 5,5,5,4.46,0.89
1.00022E+14,آسمان من قسمت 29,5,10,2.88,0.29
1.00022E+14,فرینج فصل 3 قسمت 21,14,26,11.27,0.43
1.00022E+14,ته دنیا فصل 1 قسمت 6,4,4,1.2,0.3
1.00022E+14,زنجیره فصل 2 قسمت11,12,21,11.08,0.53
1.00022E+14,فرینج فصل 4 قسمت 1,24,49,19.52,0.4
1.00022E+14,اسپارینگ,43,64,30.28,0.47
1.00022E+14,چرنوبیل قسمت 1 : 1:23:45,236,393,184.88,0.47
1.00022E+14,روک فصل 1 قسمت 2,22,27,13.42,0.5
1.00022E+14,ماه و پلنگ قسمت 8,6,6,1.25,0.21
1.00022E+14,دکتر خوب قسمت 15,10,24,7.68,0.32
1.00022E+14,سیدی,2,8,1.64,0.2
