content id,content name,access users,access times,access duration (hour),average access duration (hour)
1.00E+12,ورود به سرزمین های بد  قسمت 4,6,28,3.27,0.12
1.00E+12,فرار از زندان فصل 1 قسمت 16,25,44,10.62,0.24
1.00E+14,قدرت بالاتر,17,21,6.85,0.33
1.00E+12,ساعت شلوغی 3,12,30,13.34,0.44
1.00E+14,اشیا تیز فصل 1 قسمت 7 : سقوط,1,2,0.5,0.25
1.00E+12,شهر در امن و امان است,5,6,2.21,0.37
1.00E+12,روزی روزگاری قسمت 11 و 12,26,65,18.3,0.28
1.00E+14,غول کش ها قسمت 26,14,22,2.61,0.12
1.00E+14,شلدون جوان فصل 1 قسمت 8,6,15,3.18,0.21
1.00E+14,ساختمان پزشکان قسمت 42,11,19,6.77,0.36
1.11E+15,گمشده در فضا فصل 2 قسمت 3,9,22,5.43,0.25
1.00E+12,یک مکان ساکت,4,9,1.74,0.19
1.00E+14,همسر,27,73,14.98,0.21
1.00E+14,فرینج فصل 4 قسمت 21,12,21,9.63,0.46
1.11E+15,گاتهام فصل 5 قسمت 5,13,29,6.92,0.24
1.00E+14,دلبری,2,2,0.31,0.16
1.11E+15,فوق لیسانسه ها قسمت 1,19,29,11.71,0.4
1.11E+15,فوق لیسانسه ها قسمت 10,11,20,10.62,0.53
1.11E+15, تخم مرغ های سبز و ژامبون فصل 1 قسمت 13,41,88,32.13,0.37
1.11E+15, ترنسفورمرز: سایبرورس فصل 2 قسمت 12,7,11,3.28,0.3
1.00E+12,مسابقه مرگ 4: فراتر از هرج و مرج,30,65,23.02,0.35
1.00E+14,علی البدل قسمت 9,7,23,6.23,0.27
1.00E+14,پدرخوانده قسمت 1,1,2,0.71,0.36
1.11E+15,سوتز فصل 2 قسمت 13,4,19,2.87,0.15
1.00E+12,مرد مورچه ای,5,26,8.93,0.34
1.00E+14,شش اژدهای پرنده فصل1 قسمت 16,1,2,0.97,0.49
1.10E+14,ورود به سرزمین های بد فصل 3 قسمت 8,7,14,5.06,0.36
1.11E+15,جرائم دهلی فصل 1 قسمت 6,1,1,0.65,0.65
1.11E+15,ملکه کی قسمت 4,27,49,19.51,0.4
1.11E+15,سلاطین پارک ماشین,16,17,1.18,0.07
1.00E+14,تنهایی لیلا قسمت 22,3,3,1.68,0.56
1.11E+15,قفل و کلید فصل 1 قسمت 3,14,31,7.62,0.25
1.00E+14,شمعدونی قسمت 18,5,10,2.47,0.25
1.11E+15,شلدون جوان فصل 3 قسمت 1,14,25,5.24,0.21
1.00E+14,عقرب قسمت 10,8,11,7.74,0.7
1.11E+15,آچمز قسمت 28,8,13,6.97,0.54
1.11E+15,او یک فرشته بود قسمت 12,8,14,3.11,0.22
1.11E+15, مخمصه,7,20,8.22,0.41
1.11E+15,تنها در خانه 2: گمشده در نیویورک,14,37,5.66,0.15
1.11E+15,11.22.63.فصل 1 قسمت 1,2,2,1.29,0.65
1.11E+15,رعد و برق می روند فصل 1 قسمت 15,2,4,1.02,0.25
1.00E+14,مسافران فصل 1 قسمت 10,2,3,1.11,0.37
1.11E+15,عصرجدید فصل 2 قسمت 4 بخش 2,1,1,0.55,0.55
1.00E+14,آخرین کشتی 2 قسمت 6,8,17,5.86,0.34
1.11E+15, ایستادگی در اسپارو کریک,6,13,1.62,0.12
1.11E+15,بچه مهندس فصل 2 قسمت 5,1,1,0.04,0.04
1.11E+15,پایتخت فصل 4 قسمت 3,146,252,87.96,0.35
1.00E+14,هری پاتر و تالار اسرار,16,59,21.31,0.36
1.00E+14,آخرین کشتی فصل 3 قسمت 3,4,6,1.93,0.32
1.00E+14,بیگانه,6,15,2.65,0.18
1.00E+14,خانه به دوش قسمت 1,94,174,43.98,0.25
1.00E+14,خانه,1,1,0.14,0.14
1.11E+15,فوق لیسانسه ها قسمت 11,10,28,8.44,0.3
1.11E+15,نارکو فصل 2 قسمت 2,2,2,1.89,0.95
1.11E+15,سیاره متخاصم فصل 1 قسمت 4,5,13,2.47,0.19
1.11E+15,پنجمین خورشید قسمت 11,17,26,10.31,0.4
