content id,content name,access users,access times,access duration (hour),average access duration (hour)
1.11002E+15,دور,259,330,66.89,0.2
1.11002E+15,بریتانیا فصل 2 قسمت 1,10,15,3.33,0.22
1.00022E+14,الن دی جنرس: مرتبط,20,24,5.53,0.23
1.00022E+14,6ابر قهرمان قسمت 1 و 2,41,58,17.74,0.31
1.00022E+14,دنیای شادی,81,210,44.35,0.21
1.11002E+15,سلامت قسمت 1,55,91,29.73,0.33
1.11002E+15,ادبیات فارسی 3 پایه  12 متوسطه: ادبیات حماسی,12,12,4.87,0.41
1.11002E+15,خدمتکار فصل 1 قسمت 5,71,131,26.57,0.2
1.11002E+15,در رکاب منجی,43,45,3.79,0.08
1.11002E+15,رعد و برق می روند فصل 1 قسمت 15,8,10,2.41,0.24
1.00022E+14,مجازاتگر قسمت 10,13,39,7.84,0.2
1.00022E+14,فریب فصل 1 قسمت 7,4,7,2.99,0.43
1.00022E+14,مرد هزار چهره قسمت4,43,82,20.39,0.25
1.11002E+15,زوج یا فرد قسمت 14,2,6,0.77,0.13
1.00022E+14,پشت صحنه مرد هزار چهره,19,21,7.97,0.38
1.00022E+14,خط قرمز قسمت 23,5,8,2.19,0.27
1.11002E+15,داستان اسباب بازی 4,273,634,194.77,0.31
1.11002E+15,سه درصد فصل 1 قسمت 6,3,5,1.35,0.27
1.11002E+15,در حاشیه فصل 1 قسمت 5,24,37,8.2,0.22
1.00004E+12,گنج مظفر قسمت 6,16,31,8.87,0.29
1.00022E+14,بچه رئیس فصل 2 قسمت 5,36,112,20.69,0.18
1.00004E+12,امام علی قسمت 3,12,30,6.77,0.23
1.00004E+12,پس از باران قسمت 30,3,3,1.19,0.4
1.00022E+14,محیا,23,48,25.3,0.53
1.00005E+12,یک مکان ساکت,6,6,0.26,0.04
1.00006E+12,شماره 17 سهیلا,22,47,16.54,0.35
1.00022E+14,غذای شما,69,158,50.23,0.32
1.00022E+14,گاندو قسمت 15,28,46,14.61,0.32
1.11002E+15,تنهاترین سردار قسمت 1,5,9,3.49,0.39
1.00022E+14,شنود فصل 1 قسمت 12,5,11,2.8,0.25
1.00022E+14,هیول آباد قسمت 1,3,3,0.8,0.27
1.00022E+14,یوسف پیامبر قسمت 5,22,40,6.97,0.17
1E+12,ویژه برنامه فیلم درخت گردو,5,5,2.7,0.54
1.00001E+12,مرد مورچه ای,9,29,10.07,0.35
1.00022E+14,شاهزاده ربوده شده: روسلان و لودمیلا,80,185,53.11,0.29
1.00001E+12,فرار از زندان فصل 3 قسمت 10,49,113,26.88,0.24
1.00022E+14,کماندار 1 قسمت 11,19,45,13.54,0.3
1.00022E+14,شش اژدهای پرنده فصل1 قسمت 6,3,9,1.28,0.14
1.00022E+14,لحظه گرگ و میش قسمت 15,6,11,3.77,0.34
1.00002E+12,پی 22,11,26,6.07,0.23
1.10022E+14,ورود به سرزمین های بد فصل 2 قسمت 9,5,11,4.08,0.37
1.00022E+14,سیاره زمین 2 قسمت 3,2,2,0.1,0.05
1.11002E+15,قرار دادن قدرت قانون در اختیار مردم,1,2,0.36,0.18
1.11002E+15,گمشده در فضا فصل 2 قسمت 4,4,10,2.63,0.26
1.00022E+14,هندی سطح متوسط,25,43,14.35,0.33
1.11002E+15,بیگانه فصل 1 قسمت 6,2,6,1.89,0.31
1.11002E+15,بازی با آتش,55,111,49.35,0.44
1.11002E+15,یکی از ما دو نفر,48,98,35.05,0.36
1.00022E+14,فرینج فصل 4 قسمت 6,4,7,3.23,0.46
1.00022E+14,دزدان فروشگاه,12,13,7.02,0.54
1.00022E+14,وایکینگ ها 5 قسمت 16,61,148,36.36,0.25
1.11002E+15,مظنون فصل 1 قسمت 10,3,13,0.98,0.08
1.11002E+15,تایتان فصل 2 قسمت 11:ای ال ا,4,4,2.02,0.5
1.00022E+14,ساختمان پزشکان قسمت 39,19,24,11.72,0.49
1.00022E+14,ساختمان پزشکان قسمت 49,14,30,7.19,0.24
1.00022E+14,شش اژدهای پرنده فصل1 قسمت 12,2,11,1.05,0.1
1.11002E+15,مسافران فصل 2 قسمت 3:جیکوب,4,7,2.2,0.31
1.00022E+14,شمعدونی قسمت 40,3,3,0.79,0.26
1.11002E+15,توقف‌ناپذیر,2,2,1.27,0.64
1.00022E+14,هراس,40,73,21.65,0.3
1.00022E+14,ددپول 2 ویژه ناشنوایان,33,64,19.36,0.3
1.11002E+15,آلیاس گریس قسمت 6,1,3,0.41,0.14
1.11002E+15,فلش فصل 4 قسمت 1,40,79,18.06,0.23
1.00003E+12,پونی کوچولو 5:کوچولو و سگ 3,15,27,4.4,0.16
1.00003E+12,انیمیشن های کوتاه 3,11,27,5.63,0.21
1.00003E+12,تنگه وحشت,1,2,0.28,0.14
1.11002E+15, هفت جهان یک سیاره فصل 1 قسمت 5,10,16,6.75,0.42
1.11002E+15,پنجمین خورشید قسمت 11,51,100,25.32,0.25
1.00003E+12,تاینی تون قسمت 14,1,2,0.28,0.14
1.11002E+15,پاندای کونگ فو کار: افسانه های شگفت انگیز فصل 2 قسمت 2,32,49,15.12,0.31
1.11002E+15,پاندای کونگ فو کار: افسانه های شگفت انگیز فصل 3 قسمت 14,22,32,10.19,0.32
1.00022E+14,لیسانسه ها 2 قسمت 4,16,27,6.13,0.23
1.00022E+14,بیدارشو آرزو,1,1,0.33,0.33
1.11002E+15,باب معمار قسمت 2,32,46,13.62,0.3
1.11002E+15,باب معمار قسمت 19,8,16,9.02,0.56
1.11002E+15,مظنون فصل 2 قسمت 5,2,6,0.62,0.1
1.00001E+12,فرار از زندان فصل 4 قسمت 18,36,78,24.79,0.32
1.00001E+12,آخرین تک شاخ,14,26,7.45,0.29
1.11002E+15,مظنون فصل 5 قسمت 3,3,6,1.5,0.25
1.11002E+15,بلور تاریک: عصر مقاومت فصل 1 قسمت 7,22,39,12.13,0.31
1.00001E+12,خانه ایی در مزرعه,14,16,4.18,0.26
1.11002E+15,تات قسمت 1,26,69,22.81,0.33
1.11002E+15,مسافران فصل 3 قسمت 7,3,5,2.19,0.44
1.11002E+15,پایتخت فصل 4 قسمت 11,62,114,28.04,0.25
1.11002E+15,ماه عسل قسمت 2,13,20,4.98,0.25
1.00002E+12,باب اسفنجی :بادیگارد,3,5,1.61,0.32
1.00022E+14,وحشی,12,27,7.54,0.28
1.00003E+12,شوکا-آذربایجان شرقی,3,3,0.11,0.04
1.00004E+12,گنج مظفر قسمت 1,30,50,14.77,0.3
